var_a,var_b,r,partyID_r2_a,partyID_r2_b,variance_a,variance_b,preferred_retain,suggested_drop,rationale
CC24_330a,CC24_341b,0.7173,0.5682,0.2199,3.5027,0.2455,CC24_341b,CC24_330a,"Lower PID R²=0.220, higher variance=3.503"
CC24_330a,CC24_324d,0.7896,0.5682,0.3183,3.5027,0.2412,CC24_330a,CC24_324d,"Lower PID R²=0.318, higher variance=3.503"
CC24_330a,CC24_340f,0.718,0.5682,0.2152,3.5027,0.2325,CC24_340f,CC24_330a,"Lower PID R²=0.215, higher variance=3.503"
CC24_330a,CC24_440a,0.7061,0.5682,0.3676,3.5027,2.1805,CC24_440a,CC24_330a,"Lower PID R²=0.368, higher variance=3.503"
CC24_330a,CC24_441b,0.7052,0.5682,0.3507,3.5027,2.2503,CC24_441b,CC24_330a,"Lower PID R²=0.351, higher variance=3.503"
CC24_330a,CC24_312a,-0.7523,0.5682,0.5682,3.5027,1.3453,CC24_330a,CC24_312a,"Lower PID R²=0.568, higher variance=3.503"
CC24_330a,CC24_312i,-0.7885,0.5682,0.6296,3.5027,1.5635,CC24_330a,CC24_312i,"Lower PID R²=0.568, higher variance=3.503"
pew_churatd,pew_religimp,0.8245,0.0598,0.1105,2.9575,1.411,pew_churatd,pew_religimp,"Lower PID R²=0.060, higher variance=2.958"
pew_churatd,pew_prayer,0.7272,0.0598,0.0859,2.9575,5.7847,pew_prayer,pew_churatd,"Lower PID R²=0.060, higher variance=5.785"
pew_religimp,pew_prayer,0.8503,0.1105,0.0859,1.411,5.7847,pew_prayer,pew_religimp,"Lower PID R²=0.086, higher variance=5.785"
pew_religimp,pew_bornagain,0.7702,0.1105,0.0775,1.411,0.221,pew_religimp,pew_bornagain,"Lower PID R²=0.077, higher variance=1.411"
CC24_301,CC24_312a,-0.8452,0.3375,0.5682,1.7609,1.3453,CC24_301,CC24_312a,"Lower PID R²=0.338, higher variance=1.761"
CC24_301,CC24_312i,-0.843,0.3375,0.6296,1.7609,1.5635,CC24_301,CC24_312i,"Lower PID R²=0.338, higher variance=1.761"
CC24_341a,CC24_341b,0.7428,0.1445,0.2199,0.2337,0.2455,CC24_341a,CC24_341b,"Lower PID R²=0.144, higher variance=0.245"
CC24_341a,CC24_312c,0.7029,0.1445,0.2787,0.2337,1.1288,CC24_341a,CC24_312c,"Lower PID R²=0.144, higher variance=1.129"
CC24_341b,CC24_341c,0.867,0.2199,0.1702,0.2455,0.2288,CC24_341c,CC24_341b,"Lower PID R²=0.170, higher variance=0.245"
CC24_341b,CC24_323a,0.7027,0.2199,0.2136,0.2455,0.242,CC24_323a,CC24_341b,"Lower PID R²=0.214, higher variance=0.245"
CC24_341b,CC24_324d,0.7938,0.2199,0.3183,0.2455,0.2412,CC24_341b,CC24_324d,"Lower PID R²=0.220, higher variance=0.245"
CC24_341b,CC24_440a,0.7123,0.2199,0.3676,0.2455,2.1805,CC24_440a,CC24_341b,"Lower PID R²=0.220, higher variance=2.180"
CC24_341b,CC24_312a,-0.7875,0.2199,0.5682,0.2455,1.3453,CC24_341b,CC24_312a,"Lower PID R²=0.220, higher variance=1.345"
CC24_341b,CC24_312c,0.727,0.2199,0.2787,0.2455,1.1288,CC24_312c,CC24_341b,"Lower PID R²=0.220, higher variance=1.129"
CC24_341b,CC24_312i,-0.8054,0.2199,0.6296,0.2455,1.5635,CC24_341b,CC24_312i,"Lower PID R²=0.220, higher variance=1.563"
CC24_341c,CC24_324d,0.7362,0.1702,0.3183,0.2288,0.2412,CC24_341c,CC24_324d,"Lower PID R²=0.170, higher variance=0.241"
CC24_341c,CC24_312a,-0.7191,0.1702,0.5682,0.2288,1.3453,CC24_341c,CC24_312a,"Lower PID R²=0.170, higher variance=1.345"
CC24_341c,CC24_312i,-0.7435,0.1702,0.6296,0.2288,1.5635,CC24_341c,CC24_312i,"Lower PID R²=0.170, higher variance=1.563"
CC24_323a,CC24_323d,0.8595,0.2136,0.1854,0.242,0.2074,CC24_323d,CC24_323a,"Lower PID R²=0.185, higher variance=0.242"
CC24_323a,CC24_324d,0.713,0.2136,0.3183,0.242,0.2412,CC24_323a,CC24_324d,"Lower PID R²=0.214, higher variance=0.242"
CC24_323a,CC24_340f,0.7163,0.2136,0.2152,0.242,0.2325,CC24_323a,CC24_340f,"Lower PID R²=0.214, higher variance=0.242"
CC24_323a,CC24_312a,-0.7511,0.2136,0.5682,0.242,1.3453,CC24_323a,CC24_312a,"Lower PID R²=0.214, higher variance=1.345"
CC24_323a,CC24_312i,-0.767,0.2136,0.6296,0.242,1.5635,CC24_323a,CC24_312i,"Lower PID R²=0.214, higher variance=1.563"
CC24_323d,CC24_340f,0.7264,0.1854,0.2152,0.2074,0.2325,CC24_323d,CC24_340f,"Lower PID R²=0.185, higher variance=0.233"
CC24_323d,CC24_312a,-0.7781,0.1854,0.5682,0.2074,1.3453,CC24_323d,CC24_312a,"Lower PID R²=0.185, higher variance=1.345"
CC24_323d,CC24_312i,-0.7905,0.1854,0.6296,0.2074,1.5635,CC24_323d,CC24_312i,"Lower PID R²=0.185, higher variance=1.563"
CC24_321b,CC24_312a,-0.7168,0.1836,0.5682,0.2389,1.3453,CC24_321b,CC24_312a,"Lower PID R²=0.184, higher variance=1.345"
CC24_321b,CC24_312i,-0.7386,0.1836,0.6296,0.2389,1.5635,CC24_321b,CC24_312i,"Lower PID R²=0.184, higher variance=1.563"
CC24_321d,CC24_321e,0.7909,0.1371,0.1064,0.245,0.1953,CC24_321e,CC24_321d,"Lower PID R²=0.106, higher variance=0.245"
CC24_325,CC24_324d,0.7643,0.2353,0.3183,149.9186,0.2412,CC24_325,CC24_324d,"Lower PID R²=0.235, higher variance=149.919"
CC24_324d,CC24_340c,0.7511,0.3183,0.193,0.2412,0.2305,CC24_340c,CC24_324d,"Lower PID R²=0.193, higher variance=0.241"
CC24_324d,CC24_440a,0.7326,0.3183,0.3676,0.2412,2.1805,CC24_440a,CC24_324d,"Lower PID R²=0.318, higher variance=2.180"
CC24_324d,CC24_312a,-0.8051,0.3183,0.5682,0.2412,1.3453,CC24_324d,CC24_312a,"Lower PID R²=0.318, higher variance=1.345"
CC24_324d,CC24_312c,0.7241,0.3183,0.2787,0.2412,1.1288,CC24_312c,CC24_324d,"Lower PID R²=0.279, higher variance=1.129"
CC24_324d,CC24_312i,-0.8322,0.3183,0.6296,0.2412,1.5635,CC24_324d,CC24_312i,"Lower PID R²=0.318, higher variance=1.563"
CC24_340c,CC24_312i,-0.7013,0.193,0.6296,0.2305,1.5635,CC24_340c,CC24_312i,"Lower PID R²=0.193, higher variance=1.563"
CC24_340f,CC24_440a,0.7129,0.2152,0.3676,0.2325,2.1805,CC24_440a,CC24_340f,"Lower PID R²=0.215, higher variance=2.180"
CC24_340f,CC24_441a,0.7197,0.2152,0.3275,0.2325,2.0993,CC24_441a,CC24_340f,"Lower PID R²=0.215, higher variance=2.099"
CC24_340f,CC24_441b,0.7065,0.2152,0.3507,0.2325,2.2503,CC24_441b,CC24_340f,"Lower PID R²=0.215, higher variance=2.250"
CC24_340f,CC24_312i,-0.7131,0.2152,0.6296,0.2325,1.5635,CC24_340f,CC24_312i,"Lower PID R²=0.215, higher variance=1.563"
CC24_440a,CC24_440b,0.7131,0.3676,0.2411,2.1805,1.7286,CC24_440b,CC24_440a,"Lower PID R²=0.241, higher variance=2.180"
CC24_440a,CC24_441a,0.7618,0.3676,0.3275,2.1805,2.0993,CC24_441a,CC24_440a,"Lower PID R²=0.328, higher variance=2.180"
CC24_440a,CC24_441b,0.8345,0.3676,0.3507,2.1805,2.2503,CC24_441b,CC24_440a,"Lower PID R²=0.351, higher variance=2.250"
CC24_440a,CC24_312a,-0.7505,0.3676,0.5682,2.1805,1.3453,CC24_440a,CC24_312a,"Lower PID R²=0.368, higher variance=2.180"
CC24_440a,CC24_312i,-0.7808,0.3676,0.6296,2.1805,1.5635,CC24_440a,CC24_312i,"Lower PID R²=0.368, higher variance=2.180"
CC24_440c,CC24_440d,0.7716,0.1643,0.2514,1.6268,1.8476,CC24_440c,CC24_440d,"Lower PID R²=0.164, higher variance=1.848"
CC24_441a,CC24_441b,0.8136,0.3275,0.3507,2.0993,2.2503,CC24_441a,CC24_441b,"Lower PID R²=0.328, higher variance=2.250"
CC24_441a,CC24_312i,-0.7018,0.3275,0.6296,2.0993,1.5635,CC24_441a,CC24_312i,"Lower PID R²=0.328, higher variance=2.099"
CC24_441b,CC24_312a,-0.7134,0.3507,0.5682,2.2503,1.3453,CC24_441b,CC24_312a,"Lower PID R²=0.351, higher variance=2.250"
CC24_441b,CC24_312i,-0.7426,0.3507,0.6296,2.2503,1.5635,CC24_441b,CC24_312i,"Lower PID R²=0.351, higher variance=2.250"
CC24_420_1,CC24_420_7,-0.8645,0.0408,0.0002,0.1609,0.1157,CC24_420_7,CC24_420_1,"Lower PID R²=0.000, higher variance=0.161"
CC24_420_2,CC24_420_7,-0.9907,0.0282,0.0002,0.2474,0.1157,CC24_420_7,CC24_420_2,"Lower PID R²=0.000, higher variance=0.247"
CC24_420_3,CC24_420_7,-0.9622,0.0328,0.0002,0.2305,0.1157,CC24_420_7,CC24_420_3,"Lower PID R²=0.000, higher variance=0.231"
CC24_420_4,CC24_420_7,-0.9156,0.013,0.0002,0.1395,0.1157,CC24_420_7,CC24_420_4,"Lower PID R²=0.000, higher variance=0.140"
CC24_420_5,CC24_420_7,-0.9956,0.0014,0.0002,0.2174,0.1157,CC24_420_5,CC24_420_7,"Lower PID R²=0.000, higher variance=0.217"
CC24_420_6,CC24_420_7,-0.9928,0.0958,0.0002,0.2448,0.1157,CC24_420_7,CC24_420_6,"Lower PID R²=0.000, higher variance=0.245"
CC24_421_1,CC24_421_2,0.739,0.0182,0.012,1.3189,1.081,CC24_421_1,CC24_421_2,"Lower PID R²=0.012, higher variance=1.319"
CC24_424,CC24_312d,-0.7184,0.0072,0.0084,0.771,1.2897,CC24_312d,CC24_424,"Lower PID R²=0.007, higher variance=1.290"
CC24_312a,CC24_312i,0.9774,0.5682,0.6296,1.3453,1.5635,CC24_312a,CC24_312i,"Lower PID R²=0.568, higher variance=1.563"
CC24_312d,CC24_312e,0.7647,0.0084,0.0003,1.2897,0.9806,CC24_312d,CC24_312e,"Lower PID R²=0.000, higher variance=1.290"
CC24_312e,CC24_312h,0.7207,0.0003,0.0034,0.9806,1.4098,CC24_312h,CC24_312e,"Lower PID R²=0.000, higher variance=1.410"
CC24_312g,CC24_312h,0.7534,0.0305,0.0034,1.3151,1.4098,CC24_312h,CC24_312g,"Lower PID R²=0.003, higher variance=1.410"
