Order,variable,domain,type,stat_label,question,PRG,DSA,LIB,SD,STY,CTR,REF,CON,NAT,SD/LIB,SD/STY,STY/SD,LIB/CTR,SD/CTR,SD/CON,CON/SD,STY/CON,CON/STY,STY/REF,CON/CTR,REF/STY,CON/REF,CON/NAT,Max,Mid,Low
1,CC24_341a,Taxes & Economy,binary,% Supporting,Extend the 2017 tax cuts,11.7472,28.8072,33.0026,48.868,60.5274,76.3888,75.7089,85.1391,93.7855,40.9353,52.7343,54.6977,50.3571,62.6284,66.2491,68.9803,70.5616,74.8022,67.3591,81.8411,70.1084,82.2157,89.3758,,,
2,CC24_341b,Taxes & Economy,binary,% Supporting,Raise corporate income tax from 21% to 28%,97.349,88.5291,90.7269,80.3757,53.4382,53.0495,33.5886,38.8283,6.6686,85.5513,71.4432,66.9069,75.6559,66.7126,60.4662,57.3377,47.4817,44.9645,44.5059,44.1883,40.9111,37.204,23.07,,,
3,CC24_341c,Taxes & Economy,binary,% Supporting,Allow rates on $400k+ earners to rise to 35%,100,99.6371,98.0046,86.3894,58.7368,62.0599,37.998,52.531,7.5546,92.197,77.2198,72.5631,83.6267,74.2246,70.1645,67.6149,56.2067,55.1374,49.4043,56.1224,45.6485,48.0258,30.4926,,,
4,CC24_341d,Taxes & Economy,binary,% Supporting,Spend $150B/yr on infrastructure,99.527,95.4743,97.4358,90.7076,70.879,79.6649,61.252,78.4184,54.8584,94.0717,84.1324,80.7933,90.3274,85.1863,84.8186,83.8932,73.9528,75.2519,66.5469,78.8882,64.8034,73.0968,66.874,,,
5,CC24_302,Taxes & Economy,ordinal,Weighted mean,Household income change past year (1=Increased a lot … 5=Decreased a lot),2.7421,3.0358,2.6856,2.949,3.1641,3.0302,3.4277,3.2872,3.5477,2.8173,3.0203,3.0565,2.8234,2.9896,3.1111,3.1365,3.2143,3.2355,3.2827,3.1903,3.3305,3.3308,3.4148,,,
11,CC24_303,Taxes & Economy,ordinal,Weighted mean,Price change past year (1=Increased a lot … 5=Decreased a lot),2.0963,1.7634,2.0245,1.8281,1.7436,1.5351,1.3853,1.3256,1.193,1.9263,1.8001,1.7858,1.8287,1.6816,1.5873,1.5495,1.5732,1.5012,1.5824,1.4046,1.5175,1.3441,1.2606,,,
17,CC24_323a,Immigration,binary,% Supporting,Grant legal status to long-term undocumented immigrants,99.9762,99.3685,98.3073,82.7113,75.1003,59.9703,12.3442,30.2296,0.201,90.5093,80.1875,78.9058,82.9725,71.3408,57.5621,53.6102,56.8065,49.0753,46.8601,41.4389,35.4949,24.6851,15.5156,,,
18,CC24_323b,Immigration,binary,% Supporting,Increase border patrols,40.627,18.338,75.3309,72.2397,64.8119,93.2013,89.1047,99.4845,100,73.7853,69.7766,68.5258,82.4791,82.7205,85.2954,87.3469,78.9479,84.922,75.7437,97.1164,80.1431,96.2668,99.7371,,,
19,CC24_323d,Immigration,binary,% Supporting,Permanent status/pathway for Dreamers,100,100,99.9717,98.3844,86.6809,72.2816,27.6665,53.0032,0.282,99.178,94.5035,92.5326,88.8957,85.333,76.6377,73.2205,72.9505,67.1478,60.1244,60.2692,49.4369,45.1488,27.1698,,,
20,CC24_323f,Immigration,binary,% Supporting,Forgive up to $20k of student loan debt per person,93.6354,95.8983,82.7126,79.6209,70.5324,47.291,30.2371,25.7075,5.2886,81.1668,76.6072,75.0767,68.544,63.456,53.7856,49.7259,52.2573,44.534,52.3995,33.8423,45.102,27.1117,15.7022,,,
