round,candidate_code,candidate_name,vote_total,vote_pct,eliminated,winner
1,CON_SD,CON/SD,9177.8688,20.1132,False,True
1,CON_STY,CON/STY,9418.1467,20.6397,False,False
1,SD_CON,SD/CON,9112.6607,19.9703,False,False
1,SD_CTR,SD/CTR,9287.4144,20.3532,False,False
1,STY_SD,STY/SD,8635.0517,18.9236,True,False
2,CON_SD,CON/SD,11379.6845,24.9384,False,True
2,CON_STY,CON/STY,11552.4639,25.3171,False,False
2,SD_CON,SD/CON,11215.3323,24.5782,True,False
2,SD_CTR,SD/CTR,11483.6616,25.1663,False,False
3,CON_SD,CON/SD,15177.668,33.2616,False,True
3,CON_STY,CON/STY,15396.3021,33.7408,False,False
3,SD_CTR,SD/CTR,15057.1723,32.9976,True,False
4,CON_SD,CON/SD,23011.7271,50.4299,False,True
4,CON_STY,CON/STY,22619.4152,49.5701,False,False
