state_fips,state_abbr,winner_code,winner_label,runner_up_code,runner_up_label,n_respondents,n_irv_rounds,r1_pct_CON_SD,r1_pct_CON_STY,r1_pct_SD_CON,r1_pct_SD_CTR,r1_pct_STY_SD
1,AL,CON_SD,CON/SD,STY_SD,STY/SD,661,4,20.66,17.92,20.72,19.09,21.61
2,AK,STY_SD,STY/SD,CON_STY,CON/STY,105,4,14.54,17.48,21.12,6.2,40.66
4,AZ,STY_SD,STY/SD,CON_SD,CON/SD,1159,4,19.63,20.76,19.36,16.39,23.85
5,AR,SD_CTR,SD/CTR,CON_SD,CON/SD,390,4,20.53,15.71,21.02,25.59,17.14
6,CA,CON_SD,CON/SD,SD_CTR,SD/CTR,3626,4,20.18,21.52,19.09,19.9,19.31
8,CO,SD_CON,SD/CON,CON_SD,CON/SD,785,4,20.46,22.91,18.96,17.92,19.74
9,CT,CON_STY,CON/STY,SD_CON,SD/CON,465,4,17.08,19.83,23.24,23.29,16.56
10,DE,SD_CTR,SD/CTR,CON_STY,CON/STY,164,4,14.75,22.15,18.93,31.08,13.09
11,DC,SD_CTR,SD/CTR,STY_SD,STY/SD,122,4,22.8,16.16,10.0,33.1,17.94
12,FL,SD_CTR,SD/CTR,CON_SD,CON/SD,3350,4,20.05,20.23,19.25,20.34,20.13
13,GA,CON_SD,CON/SD,STY_SD,STY/SD,1489,4,21.83,21.65,17.06,18.89,20.58
15,HI,SD_CON,SD/CON,SD_CTR,SD/CTR,153,4,14.35,16.29,24.16,17.69,27.51
16,ID,CON_SD,CON/SD,STY_SD,STY/SD,244,4,24.82,26.46,17.31,14.19,17.23
17,IL,SD_CTR,SD/CTR,CON_SD,CON/SD,1758,4,20.9,16.43,22.15,22.62,17.9
18,IN,SD_CTR,SD/CTR,SD_CON,SD/CON,978,4,23.62,18.92,20.57,21.18,15.72
19,IA,CON_STY,CON/STY,CON_SD,CON/SD,490,4,25.83,21.67,14.26,15.91,22.32
20,KS,SD_CTR,SD/CTR,STY_SD,STY/SD,385,4,16.39,21.36,19.13,19.94,23.19
21,KY,CON_STY,CON/STY,STY_SD,STY/SD,674,4,17.4,26.7,19.34,16.96,19.61
