diagnostic,phase,candidate_code,candidate_name,raw_votes,vote_pct,status,pod,votes_from_pod,pod_total_votes,pct_of_pod,finalist_national_total,pct_of_finalist_total,straddler_code,straddler_name,platonic_code,platonic_name,platonic_secondary_code,straddler_pct,platonic_pct,platonic_secondary_pct,delta_vs_primary,eliminated_code,eliminated_name,winnowing_point,transfer_type,dest_code,dest_name,transferred_votes,pct_of_eliminated_total,candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,winner,margin,margin_pct,lock_order,locked,rp_winner_overall
trajectories,After_Retail_Six,RH,CON,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,MW,SD,118.1106,5.6778,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,MRJ,STY,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,BE,NAT,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,CO,LIB,159.7525,7.6796,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,DH,REF,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,LK,CTR,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,ZN,DSA,140.749,6.766,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,JR,PRG,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,SD_STY,SD/STY,119.7726,5.7577,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,CON_CTR,CON/CTR,193.3583,9.2951,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,CON_SD,CON/SD,190.2353,9.1449,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,CON_STY,CON/STY,188.2514,9.0496,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,STY_REF,STY/REF,206.43,9.9234,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,SD_CON,SD/CON,177.3633,8.5261,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,STY_SD,STY/SD,200.8708,9.6562,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,REF_STY,REF/STY,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,CON_REF,CON/REF,187.5545,9.0161,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,SD_LIB,SD/LIB,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,SD_CTR,SD/CTR,197.7803,9.5076,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,RH,CON,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,MW,SD,1131.8119,9.5063,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,MRJ,STY,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,BE,NAT,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,CO,LIB,1255.1592,10.5423,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,DH,REF,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,LK,CTR,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,ZN,DSA,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,JR,PRG,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,SD_STY,SD/STY,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,CON_CTR,CON/CTR,1201.603,10.0924,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,CON_SD,CON/SD,1101.3149,9.2501,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,CON_STY,CON/STY,1144.484,9.6127,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,STY_REF,STY/REF,1294.5136,10.8728,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,SD_CON,SD/CON,1049.1308,8.8118,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,STY_SD,STY/SD,1215.3487,10.2079,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,REF_STY,REF/STY,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,CON_REF,CON/REF,1248.6151,10.4873,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,SD_LIB,SD/LIB,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,SD_CTR,SD/CTR,1263.9874,10.6164,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,RH,CON,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,MW,SD,2449.6102,11.6175,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,MRJ,STY,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,BE,NAT,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,CO,LIB,2466.7203,11.6987,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,DH,REF,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,LK,CTR,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,ZN,DSA,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,JR,PRG,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,SD_STY,SD/STY,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,CON_CTR,CON/CTR,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,CON_SD,CON/SD,2466.9625,11.6998,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,CON_STY,CON/STY,2747.3999,13.0298,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,STY_REF,STY/REF,2925.8103,13.8759,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,SD_CON,SD/CON,2452.9118,11.6332,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,STY_SD,STY/SD,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,REF_STY,REF/STY,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,CON_REF,CON/REF,2928.54,13.8889,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,SD_LIB,SD/LIB,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,SD_CTR,SD/CTR,2647.5438,12.5562,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,RH,CON,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,MW,SD,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,MRJ,STY,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,BE,NAT,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,CO,LIB,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,DH,REF,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,LK,CTR,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,ZN,DSA,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,JR,PRG,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,SD_STY,SD/STY,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,CON_CTR,CON/CTR,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,CON_SD,CON/SD,9500.5174,20.8202,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,CON_STY,CON/STY,7957.5312,17.4388,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,STY_REF,STY/REF,8692.4122,19.0493,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,SD_CON,SD/CON,9809.1094,21.4965,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,STY_SD,STY/SD,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,REF_STY,REF/STY,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,CON_REF,CON/REF,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,SD_LIB,SD/LIB,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,SD_CTR,SD/CTR,9671.572,21.1951,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geo_breakdown,,CON_STY,,,,,Retail,322.8513,2080.2284,15.52,7957.5313,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
geo_breakdown,,STY_REF,,,,,Retail,437.4898,2080.2284,21.0309,8692.4122,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
