winnowing_point,candidate_code,candidate_name,vote_total,vote_pct,status,quota_threshold,accumulated_pool_size
After_Retail_Six,RH,CON,0.0,0.0,eliminated_this_round,161.0176,2080.2284
After_Retail_Six,MW,SD,10.6422,0.5116,surviving,161.0176,2080.2284
After_Retail_Six,MRJ,STY,0.0,0.0,eliminated_this_round,161.0176,2080.2284
After_Retail_Six,BE,NAT,0.0,0.0,eliminated_this_round,161.0176,2080.2284
After_Retail_Six,CO,LIB,0.1434,0.0069,surviving,161.0176,2080.2284
After_Retail_Six,DH,REF,0.0,0.0,eliminated_this_round,161.0176,2080.2284
After_Retail_Six,LK,CTR,0.0,0.0,eliminated_this_round,161.0176,2080.2284
After_Retail_Six,ZN,DSA,140.749,6.766,surviving,161.0176,2080.2284
After_Retail_Six,JR,PRG,0.0,0.0,eliminated_this_round,161.0176,2080.2284
After_Retail_Six,SD_STY,SD/STY,5.1224,0.2462,surviving,161.0176,2080.2284
After_Retail_Six,CON_CTR,CON/CTR,15.6412,0.7519,surviving,161.0176,2080.2284
After_Retail_Six,CON_SD,CON/SD,19.7451,0.9492,surviving,161.0176,2080.2284
After_Retail_Six,CON_STY,CON/STY,16.267,0.782,surviving,161.0176,2080.2284
After_Retail_Six,STY_REF,STY/REF,35.3418,1.6989,surviving,161.0176,2080.2284
After_Retail_Six,SD_CON,SD/CON,20.964,1.0078,surviving,161.0176,2080.2284
After_Retail_Six,STY_SD,STY/SD,1.2148,0.0584,surviving,161.0176,2080.2284
After_Retail_Six,REF_STY,REF/STY,0.0,0.0,eliminated_this_round,161.0176,2080.2284
After_Retail_Six,CON_REF,CON/REF,42.5263,2.0443,surviving,161.0176,2080.2284
After_Retail_Six,SD_LIB,SD/LIB,0.0,0.0,eliminated_this_round,161.0176,2080.2284
After_Retail_Six,SD_CTR,SD/CTR,0.6778,0.0326,surviving,161.0176,2080.2284
After_Pod_A,RH,CON,0.0,0.0,previously_eliminated,1083.3608,11905.9686
After_Pod_A,MW,SD,196.9982,1.6546,surviving,1083.3608,11905.9686
After_Pod_A,MRJ,STY,0.0,0.0,previously_eliminated,1083.3608,11905.9686
After_Pod_A,BE,NAT,0.0,0.0,previously_eliminated,1083.3608,11905.9686
After_Pod_A,CO,LIB,96.1989,0.808,surviving,1083.3608,11905.9686
After_Pod_A,DH,REF,0.0,0.0,previously_eliminated,1083.3608,11905.9686
After_Pod_A,LK,CTR,0.0,0.0,previously_eliminated,1083.3608,11905.9686
After_Pod_A,ZN,DSA,0.0,0.0,eliminated_this_round,1083.3608,11905.9686
After_Pod_A,JR,PRG,0.0,0.0,previously_eliminated,1083.3608,11905.9686
After_Pod_A,SD_STY,SD/STY,0.0,0.0,previously_eliminated,1083.3608,11905.9686
After_Pod_A,CON_CTR,CON/CTR,28.1116,0.2361,surviving,1083.3608,11905.9686
After_Pod_A,CON_SD,CON/SD,74.8909,0.629,surviving,1083.3608,11905.9686
After_Pod_A,CON_STY,CON/STY,103.1169,0.8661,surviving,1083.3608,11905.9686
After_Pod_A,STY_REF,STY/REF,120.8695,1.0152,surviving,1083.3608,11905.9686
After_Pod_A,SD_CON,SD/CON,116.775,0.9808,surviving,1083.3608,11905.9686
After_Pod_A,STY_SD,STY/SD,210.9446,1.7718,surviving,1083.3608,11905.9686
After_Pod_A,REF_STY,REF/STY,0.0,0.0,previously_eliminated,1083.3608,11905.9686
After_Pod_A,CON_REF,CON/REF,29.073,0.2442,surviving,1083.3608,11905.9686
After_Pod_A,SD_LIB,SD/LIB,0.0,0.0,previously_eliminated,1083.3608,11905.9686
After_Pod_A,SD_CTR,SD/CTR,95.3822,0.8011,surviving,1083.3608,11905.9686
After_Pod_C,RH,CON,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,MW,SD,83.0973,0.3941,surviving,2343.8332,21085.4989
After_Pod_C,MRJ,STY,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,BE,NAT,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,CO,LIB,56.671,0.2688,surviving,2343.8332,21085.4989
After_Pod_C,DH,REF,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,LK,CTR,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,ZN,DSA,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,JR,PRG,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,SD_STY,SD/STY,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,CON_CTR,CON/CTR,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,CON_SD,CON/SD,305.6976,1.4498,surviving,2343.8332,21085.4989
After_Pod_C,CON_STY,CON/STY,466.8085,2.2139,surviving,2343.8332,21085.4989
After_Pod_C,STY_REF,STY/REF,122.2431,0.5797,surviving,2343.8332,21085.4989
After_Pod_C,SD_CON,SD/CON,358.8687,1.702,surviving,2343.8332,21085.4989
After_Pod_C,STY_SD,STY/SD,0.0,0.0,eliminated_this_round,2343.8332,21085.4989
After_Pod_C,REF_STY,REF/STY,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,CON_REF,CON/REF,551.4168,2.6151,surviving,2343.8332,21085.4989
After_Pod_C,SD_LIB,SD/LIB,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,SD_CTR,SD/CTR,390.0302,1.8498,surviving,2343.8332,21085.4989
After_Pod_BD,RH,CON,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,MW,SD,0.0,0.0,eliminated_this_round,7606.1904,45631.1423
After_Pod_BD,MRJ,STY,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,BE,NAT,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,CO,LIB,0.0,0.0,eliminated_this_round,7606.1904,45631.1423
After_Pod_BD,DH,REF,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,LK,CTR,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,ZN,DSA,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,JR,PRG,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,SD_STY,SD/STY,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,CON_CTR,CON/CTR,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,CON_SD,CON/SD,1855.7956,4.0669,surviving,7606.1904,45631.1423
After_Pod_BD,CON_STY,CON/STY,1697.2125,3.7194,surviving,7606.1904,45631.1423
After_Pod_BD,STY_REF,STY/REF,1975.7062,4.3297,surviving,7606.1904,45631.1423
After_Pod_BD,SD_CON,SD/CON,1484.2077,3.2526,surviving,7606.1904,45631.1423
After_Pod_BD,STY_SD,STY/SD,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,REF_STY,REF/STY,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,CON_REF,CON/REF,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,SD_LIB,SD/LIB,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,SD_CTR,SD/CTR,587.2684,1.287,surviving,7606.1904,45631.1423
