winnowing_point,candidate_code,candidate_name,vote_total,vote_pct,status,quota_threshold,accumulated_pool_size
After_Retail_Six,RH,CON,18.7637,0.902,surviving,232.1365,2080.2284
After_Retail_Six,MW,SD,41.2301,1.982,surviving,232.1365,2080.2284
After_Retail_Six,MRJ,STY,38.1141,1.8322,surviving,232.1365,2080.2284
After_Retail_Six,BE,NAT,24.3405,1.1701,surviving,232.1365,2080.2284
After_Retail_Six,CO,LIB,16.6269,0.7993,surviving,232.1365,2080.2284
After_Retail_Six,DH,REF,17.0642,0.8203,surviving,232.1365,2080.2284
After_Retail_Six,LK,CTR,47.3966,2.2784,surviving,232.1365,2080.2284
After_Retail_Six,ZN,DSA,0.0,0.0,previously_eliminated,232.1365,2080.2284
After_Retail_Six,JR,PRG,19.6005,0.9422,surviving,232.1365,2080.2284
After_Pod_A,RH,CON,271.522,2.2806,surviving,1489.2461,11905.9686
After_Pod_A,MW,SD,199.1056,1.6723,surviving,1489.2461,11905.9686
After_Pod_A,MRJ,STY,264.4138,2.2209,surviving,1489.2461,11905.9686
After_Pod_A,BE,NAT,0.0,0.0,previously_eliminated,1489.2461,11905.9686
After_Pod_A,CO,LIB,115.4069,0.9693,surviving,1489.2461,11905.9686
After_Pod_A,DH,REF,286.4569,2.406,surviving,1489.2461,11905.9686
After_Pod_A,LK,CTR,257.6806,2.1643,surviving,1489.2461,11905.9686
After_Pod_A,ZN,DSA,0.0,0.0,previously_eliminated,1489.2461,11905.9686
After_Pod_A,JR,PRG,86.6602,0.7279,surviving,1489.2461,11905.9686
After_Pod_C,RH,CON,414.4777,1.9657,surviving,3013.2141,21085.4989
After_Pod_C,MW,SD,567.4774,2.6913,surviving,3013.2141,21085.4989
After_Pod_C,MRJ,STY,428.1891,2.0307,surviving,3013.2141,21085.4989
After_Pod_C,BE,NAT,0.0,0.0,previously_eliminated,3013.2141,21085.4989
After_Pod_C,CO,LIB,735.7124,3.4892,surviving,3013.2141,21085.4989
After_Pod_C,DH,REF,358.3397,1.6995,surviving,3013.2141,21085.4989
After_Pod_C,LK,CTR,502.0178,2.3809,surviving,3013.2141,21085.4989
After_Pod_C,ZN,DSA,0.0,0.0,previously_eliminated,3013.2141,21085.4989
After_Pod_C,JR,PRG,0.0,0.0,previously_eliminated,3013.2141,21085.4989
After_Pod_BD,RH,CON,1810.8891,3.9685,surviving,7606.1904,45631.1423
After_Pod_BD,MW,SD,1410.6013,3.0913,surviving,7606.1904,45631.1423
After_Pod_BD,MRJ,STY,1733.8271,3.7997,surviving,7606.1904,45631.1423
After_Pod_BD,BE,NAT,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,CO,LIB,995.1634,2.1809,surviving,7606.1904,45631.1423
After_Pod_BD,DH,REF,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,LK,CTR,1649.7094,3.6153,surviving,7606.1904,45631.1423
After_Pod_BD,ZN,DSA,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,JR,PRG,0.0,0.0,previously_eliminated,7606.1904,45631.1423
