state_fips,state_abbr,candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,margin,margin_pct,locked,lock_order,rp_winner_overall
1,AL,CON,CTR,397.7229527823414,328.48514609873234,69.24,9.5342,True,3,CON
1,AL,CON,REF,369.61068900679766,356.5974098742761,13.01,1.7919,True,10,CON
1,AL,CON,SD,389.7544545160315,336.4536443650422,53.3,7.3396,True,5,CON
1,AL,CON,STY,371.12199907716746,355.0860998039062,16.04,2.2082,True,9,CON
1,AL,CTR,REF,330.530156398959,395.67794248211476,65.15,8.971,True,4,CON
1,AL,CTR,SD,344.5651509360664,381.6429479450073,37.08,5.1057,True,8,CON
1,AL,CTR,STY,342.0164596500107,384.19163923106305,42.18,5.8076,True,6,CON
1,AL,REF,SD,406.48163334775376,319.72646553332,86.76,11.9463,True,1,CON
1,AL,REF,STY,383.28335738569115,342.9247414953826,40.36,5.5574,True,7,CON
1,AL,SD,STY,328.1209491401079,398.08714974096586,69.97,9.6345,True,2,CON
2,AK,CON,CTR,71.37845097450005,59.25988699027336,12.12,9.2764,True,7,SD
2,AK,CON,LIB,61.48436388948996,69.15397407528347,7.67,5.8709,False,9,SD
2,AK,CON,NAT,71.51763009594441,59.12070786882901,12.4,9.4895,True,6,SD
2,AK,CON,SD,60.13357682853333,70.50476113624009,10.37,7.9389,True,8,SD
2,AK,CTR,LIB,73.44421985090021,57.194118113873195,16.25,12.439,True,4,SD
2,AK,CTR,NAT,85.69996293402366,44.938375030749754,40.76,31.2019,True,1,SD
2,AK,CTR,SD,58.845419261636415,71.79291870313702,12.95,9.9109,True,5,SD
2,AK,LIB,NAT,67.44768865911587,63.19064930565756,4.26,3.2586,True,10,SD
2,AK,LIB,SD,54.474707577926836,76.16363038684659,21.69,16.6023,True,3,SD
2,AK,NAT,SD,50.901582129725334,79.73675583504809,28.84,22.0725,True,2,SD
4,AZ,CON,CTR,542.4945417103552,617.61070577407,75.12,6.4749,True,5,CTR
4,AZ,CON,REF,645.3137449099311,514.791502574494,130.52,11.2509,True,2,CTR
4,AZ,CON,SD,589.8138198724422,570.291427611983,19.52,1.6828,True,9,CTR
4,AZ,CON,STY,573.5780096430416,586.5272378413836,12.95,1.1162,True,10,CTR
4,AZ,CTR,REF,636.2368872382931,523.8683602461319,112.37,9.6861,True,3,CTR
4,AZ,CTR,SD,653.533127228196,506.5721202562291,146.96,12.6679,True,1,CTR
