state_fips,state_abbr,winner_code,winner_label,winner_type,winner_primary_cluster,winner_secondary_cluster,runner_up_code,runner_up_label,runner_up_type,runner_up_primary_cluster,runner_up_secondary_cluster,n_irv_rounds,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_pct,finalist_CTR_pct,finalist_DSA_pct,finalist_LIB_pct,finalist_NAT_pct,finalist_PRG_pct,finalist_REF_pct,finalist_SD_pct,finalist_STY_pct
1,AL,CON,CON,pure,0,,CTR,CTR,pure,6,,4,726.21,8,5,3.5591,3.9613,,,,,3.2822,2.4162,3.4479
2,AK,SD,SD,pure,1,,CTR,CTR,pure,6,,4,130.64,8,5,4.3441,1.9365,,0.9751,3.4076,,,6.0034,
4,AZ,CTR,CTR,pure,6,,REF,REF,pure,5,,4,1160.11,9,5,2.568,3.3305,,,,,2.3286,4.8354,3.6042
5,AR,CTR,CTR,pure,6,,CON,CON,pure,0,,4,412.18,9,5,3.4906,1.8266,,1.9013,,,6.7424,2.7059,
6,CA,SD,SD,pure,1,,CTR,CTR,pure,6,,4,3966.17,9,5,3.2058,2.8201,,3.1827,,,,3.5333,3.9247
8,CO,STY,STY,pure,2,,SD,SD,pure,1,,4,827.29,9,5,,2.2041,,,0.8864,,3.2053,5.9568,4.4141
9,CT,SD,SD,pure,1,,CON,CON,pure,0,,4,484.15,9,5,4.0621,2.9388,,,,4.1657,2.6168,2.8833,
10,DE,SD,SD,pure,1,,DSA,DSA,pure,8,,4,216.95,9,5,,4.4218,0.688,,4.7346,2.7783,,4.0439,
11,DC,CTR,CTR,pure,6,,LIB,LIB,pure,4,,4,117.36,8,5,,2.8753,,8.2168,,2.1922,,2.3302,1.0522
12,FL,SD,SD,pure,1,,STY,STY,pure,2,,4,3184.13,9,5,3.3378,4.7918,,,,,1.3308,4.49,2.7163
13,GA,CON,CON,pure,0,,STY,STY,pure,2,,4,1472.39,9,5,4.0299,4.0893,,,1.8583,,,3.662,3.0273
15,HI,CTR,CTR,pure,6,,STY,STY,pure,2,,4,203.15,9,5,1.3165,6.3071,,1.1482,,,,1.2949,6.5999
16,ID,CTR,CTR,pure,6,,LIB,LIB,pure,4,,4,325.33,9,5,2.4798,6.1192,,2.3032,,3.2672,2.4973,,
17,IL,SD,SD,pure,1,,CON,CON,pure,0,,4,1460.33,9,5,5.038,3.2446,,3.2927,,,,2.9184,2.1729
18,IN,CON,CON,pure,0,,CTR,CTR,pure,6,,4,994.99,9,5,5.4436,2.8174,,,,,1.1276,4.3291,2.949
19,IA,CTR,CTR,pure,6,,NAT,NAT,pure,3,,4,446.79,9,5,3.9575,4.1853,,2.4985,3.0994,,2.9258,,
20,KS,SD,SD,pure,1,,CTR,CTR,pure,6,,4,372.7,9,5,4.8654,2.8865,1.6808,,,,2.4121,4.8219,
21,KY,CON,CON,pure,0,,CTR,CTR,pure,6,,4,717.93,9,5,4.8488,3.5887,,,,1.4244,4.2726,2.5322,
22,LA,STY,STY,pure,2,,REF,REF,pure,5,,4,508.41,9,5,,4.0015,,1.856,2.8288,,4.2068,,3.7735
23,ME,REF,REF,pure,5,,CTR,CTR,pure,6,,4,243.16,9,5,2.1646,2.2629,,7.2969,,,2.4426,,2.4997
24,MD,SD,SD,pure,1,,STY,STY,pure,2,,4,782.14,9,5,,6.1781,2.5078,,,1.4452,,3.879,2.6567
25,MA,SD,SD,pure,1,,LIB,LIB,pure,4,,4,790.97,9,5,2.4063,3.8412,,3.3759,,,,4.7049,2.3384
26,MI,STY,STY,pure,2,,REF,REF,pure,5,,4,1329.58,9,5,,,,4.4821,2.5146,,2.1822,3.8662,3.6215
