state_fips,state_abbr,cand_code,cand_label,cand_type,primary_cluster,secondary_cluster,vote_total,vote_pct,quota_threshold,status,winnowing_point
1,AL,CON,CON,pure,0,,25.85,3.5591,121.03,surviving,AL
1,AL,CTR,CTR,pure,6,,28.77,3.9613,121.03,surviving,AL
1,AL,DSA,DSA,pure,8,,0.0,0.0,121.03,eliminated,AL
1,AL,LIB,LIB,pure,4,,0.0,0.0,121.03,eliminated,AL
1,AL,NAT,NAT,pure,3,,0.0,0.0,121.03,eliminated,AL
1,AL,REF,REF,pure,5,,23.84,3.2822,121.03,surviving,AL
1,AL,SD,SD,pure,1,,17.55,2.4162,121.03,surviving,AL
1,AL,STY,STY,pure,2,,25.04,3.4479,121.03,surviving,AL
2,AK,CON,CON,pure,0,,5.68,4.3441,21.77,surviving,AK
2,AK,CTR,CTR,pure,6,,2.53,1.9365,21.77,surviving,AK
2,AK,DSA,DSA,pure,8,,0.0,0.0,21.77,eliminated,AK
2,AK,LIB,LIB,pure,4,,1.27,0.9751,21.77,surviving,AK
2,AK,NAT,NAT,pure,3,,4.45,3.4076,21.77,surviving,AK
2,AK,REF,REF,pure,5,,0.0,0.0,21.77,eliminated,AK
2,AK,SD,SD,pure,1,,7.84,6.0034,21.77,surviving,AK
2,AK,STY,STY,pure,2,,0.0,0.0,21.77,eliminated,AK
4,AZ,CON,CON,pure,0,,29.79,2.568,193.35,surviving,AZ
4,AZ,CTR,CTR,pure,6,,38.64,3.3305,193.35,surviving,AZ
4,AZ,DSA,DSA,pure,8,,0.0,0.0,193.35,eliminated,AZ
4,AZ,LIB,LIB,pure,4,,0.0,0.0,193.35,eliminated,AZ
4,AZ,NAT,NAT,pure,3,,0.0,0.0,193.35,eliminated,AZ
4,AZ,PRG,PRG,pure,9,,0.0,0.0,193.35,eliminated,AZ
4,AZ,REF,REF,pure,5,,27.01,2.3286,193.35,surviving,AZ
4,AZ,SD,SD,pure,1,,56.1,4.8354,193.35,surviving,AZ
4,AZ,STY,STY,pure,2,,41.81,3.6042,193.35,surviving,AZ
5,AR,CON,CON,pure,0,,14.39,3.4906,68.7,surviving,AR
5,AR,CTR,CTR,pure,6,,7.53,1.8266,68.7,surviving,AR
5,AR,DSA,DSA,pure,8,,0.0,0.0,68.7,eliminated,AR
5,AR,LIB,LIB,pure,4,,7.84,1.9013,68.7,surviving,AR
5,AR,NAT,NAT,pure,3,,0.0,0.0,68.7,eliminated,AR
5,AR,PRG,PRG,pure,9,,0.0,0.0,68.7,eliminated,AR
5,AR,REF,REF,pure,5,,27.79,6.7424,68.7,surviving,AR
5,AR,SD,SD,pure,1,,11.15,2.7059,68.7,surviving,AR
5,AR,STY,STY,pure,2,,0.0,0.0,68.7,eliminated,AR
6,CA,CON,CON,pure,0,,127.15,3.2058,661.03,surviving,CA
6,CA,CTR,CTR,pure,6,,111.85,2.8201,661.03,surviving,CA
6,CA,DSA,DSA,pure,8,,0.0,0.0,661.03,eliminated,CA
6,CA,LIB,LIB,pure,4,,126.23,3.1827,661.03,surviving,CA
6,CA,NAT,NAT,pure,3,,0.0,0.0,661.03,eliminated,CA
6,CA,PRG,PRG,pure,9,,0.0,0.0,661.03,eliminated,CA
6,CA,REF,REF,pure,5,,0.0,0.0,661.03,eliminated,CA
6,CA,SD,SD,pure,1,,140.14,3.5333,661.03,surviving,CA
6,CA,STY,STY,pure,2,,155.66,3.9247,661.03,surviving,CA
8,CO,CON,CON,pure,0,,0.0,0.0,137.88,eliminated,CO
8,CO,CTR,CTR,pure,6,,18.23,2.2041,137.88,surviving,CO
8,CO,DSA,DSA,pure,8,,0.0,0.0,137.88,eliminated,CO
8,CO,LIB,LIB,pure,4,,0.0,0.0,137.88,eliminated,CO
8,CO,NAT,NAT,pure,3,,7.33,0.8864,137.88,surviving,CO
8,CO,PRG,PRG,pure,9,,0.0,0.0,137.88,eliminated,CO
8,CO,REF,REF,pure,5,,26.52,3.2053,137.88,surviving,CO
8,CO,SD,SD,pure,1,,49.28,5.9568,137.88,surviving,CO
8,CO,STY,STY,pure,2,,36.52,4.4141,137.88,surviving,CO
9,CT,CON,CON,pure,0,,19.67,4.0621,80.69,surviving,CT
9,CT,CTR,CTR,pure,6,,14.23,2.9388,80.69,surviving,CT
9,CT,DSA,DSA,pure,8,,0.0,0.0,80.69,eliminated,CT
9,CT,LIB,LIB,pure,4,,0.0,0.0,80.69,eliminated,CT
9,CT,NAT,NAT,pure,3,,0.0,0.0,80.69,eliminated,CT
9,CT,PRG,PRG,pure,9,,20.17,4.1657,80.69,surviving,CT
9,CT,REF,REF,pure,5,,12.67,2.6168,80.69,surviving,CT
9,CT,SD,SD,pure,1,,13.96,2.8833,80.69,surviving,CT
9,CT,STY,STY,pure,2,,0.0,0.0,80.69,eliminated,CT
10,DE,CON,CON,pure,0,,0.0,0.0,36.16,eliminated,DE
10,DE,CTR,CTR,pure,6,,9.59,4.4218,36.16,surviving,DE
10,DE,DSA,DSA,pure,8,,1.49,0.688,36.16,surviving,DE
10,DE,LIB,LIB,pure,4,,0.0,0.0,36.16,eliminated,DE
10,DE,NAT,NAT,pure,3,,10.27,4.7346,36.16,surviving,DE
10,DE,PRG,PRG,pure,9,,6.03,2.7783,36.16,surviving,DE
10,DE,REF,REF,pure,5,,0.0,0.0,36.16,eliminated,DE
10,DE,SD,SD,pure,1,,8.77,4.0439,36.16,surviving,DE
10,DE,STY,STY,pure,2,,0.0,0.0,36.16,eliminated,DE
