state_fips,state_abbr,round,candidate_code,candidate_label,vote_total,vote_pct,eliminated,irv_winner
1,AL,1,CON,CON,148.7449,20.4824,False,CON
1,AL,1,CTR,CTR,145.3731,20.0181,False,CON
1,AL,1,REF,REF,187.7466,25.853,False,CON
1,AL,1,SD,SD,125.3062,17.2549,False,CON
1,AL,1,STY,STY,119.0374,16.3916,True,CON
1,AL,2,CON,CON,195.8868,26.9739,False,CON
1,AL,2,CTR,CTR,175.3782,24.1499,False,CON
1,AL,2,REF,REF,205.8605,28.3473,False,CON
1,AL,2,SD,SD,149.0826,20.5289,True,CON
1,AL,3,CON,CON,252.9558,34.8324,False,CON
1,AL,3,CTR,CTR,220.5146,30.3652,True,CON
1,AL,3,REF,REF,252.7377,34.8024,False,CON
1,AL,4,CON,CON,369.6107,50.896,False,CON
1,AL,4,REF,REF,356.5974,49.104,False,CON
2,AK,1,CON,CON,29.5744,22.6384,False,SD
2,AK,1,CTR,CTR,35.0655,26.8417,False,SD
2,AK,1,LIB,LIB,16.5894,12.6987,True,SD
2,AK,1,NAT,NAT,20.631,15.7925,False,SD
2,AK,1,SD,SD,28.778,22.0288,False,SD
2,AK,2,CON,CON,38.3166,29.3303,False,SD
2,AK,2,CTR,CTR,35.0655,26.8417,False,SD
2,AK,2,NAT,NAT,21.5871,16.5243,True,SD
2,AK,2,SD,SD,35.6691,27.3037,False,SD
2,AK,3,CON,CON,44.1299,33.7802,False,SD
2,AK,3,CTR,CTR,37.1236,28.4171,True,SD
2,AK,3,SD,SD,49.3849,37.8027,False,SD
2,AK,4,CON,CON,60.1336,46.0306,False,SD
2,AK,4,SD,SD,70.5048,53.9694,False,SD
4,AZ,1,CON,CON,206.3118,17.7839,False,CTR
4,AZ,1,CTR,CTR,324.0339,27.9314,False,CTR
4,AZ,1,REF,REF,225.4513,19.4337,False,CTR
4,AZ,1,SD,SD,202.2131,17.4306,False,CTR
4,AZ,1,STY,STY,202.0951,17.4204,True,CTR
4,AZ,2,CON,CON,262.9477,22.6658,False,CTR
4,AZ,2,CTR,CTR,375.4413,32.3627,False,CTR
4,AZ,2,REF,REF,275.3849,23.7379,False,CTR
4,AZ,2,SD,SD,246.3314,21.2335,True,CTR
4,AZ,3,CON,CON,356.3002,30.7128,False,CTR
4,AZ,3,CTR,CTR,463.0234,39.9122,False,CTR
4,AZ,3,REF,REF,340.7816,29.3751,True,CTR
4,AZ,4,CON,CON,542.4945,46.7625,False,CTR
4,AZ,4,CTR,CTR,617.6107,53.2375,False,CTR
5,AR,1,CON,CON,73.4935,17.8303,False,CTR
5,AR,1,CTR,CTR,104.3343,25.3127,False,CTR
5,AR,1,LIB,LIB,62.001,15.0422,True,CTR
5,AR,1,REF,REF,96.4547,23.401,False,CTR
5,AR,1,SD,SD,75.8984,18.4138,False,CTR
5,AR,2,CON,CON,101.6516,24.6618,False,CTR
5,AR,2,CTR,CTR,118.1446,28.6632,False,CTR
5,AR,2,REF,REF,100.6864,24.4277,False,CTR
5,AR,2,SD,SD,91.6993,22.2473,True,CTR
5,AR,3,CON,CON,125.2839,30.3953,True,CTR
5,AR,3,CTR,CTR,156.8703,38.0585,False,CTR
5,AR,3,REF,REF,130.0277,31.5462,False,CTR
5,AR,4,CTR,CTR,226.4152,54.9309,False,CTR
5,AR,4,REF,REF,185.7668,45.0691,False,CTR
6,CA,1,CON,CON,711.2998,17.9342,True,SD
6,CA,1,CTR,CTR,785.6367,19.8084,False,SD
6,CA,1,LIB,LIB,761.4054,19.1975,False,SD
6,CA,1,SD,SD,838.1336,21.1321,False,SD
6,CA,1,STY,STY,869.6968,21.9279,False,SD
6,CA,2,CTR,CTR,987.1168,24.8884,False,SD
6,CA,2,LIB,LIB,911.0122,22.9696,True,SD
6,CA,2,SD,SD,981.0212,24.7347,False,SD
6,CA,2,STY,STY,1087.022,27.4073,False,SD
6,CA,3,CTR,CTR,1261.7645,31.8132,True,SD
6,CA,3,SD,SD,1327.8468,33.4793,False,SD
6,CA,3,STY,STY,1376.561,34.7075,False,SD
6,CA,4,SD,SD,2017.2636,50.8617,False,SD
6,CA,4,STY,STY,1948.9086,49.1383,False,SD
8,CO,1,CTR,CTR,159.0344,19.2236,False,STY
8,CO,1,NAT,NAT,133.7398,16.1661,True,STY
8,CO,1,REF,REF,157.6551,19.0569,False,STY
8,CO,1,SD,SD,183.2356,22.149,False,STY
8,CO,1,STY,STY,193.6204,23.4043,False,STY
8,CO,2,CTR,CTR,198.0044,23.9342,True,STY
8,CO,2,REF,REF,200.5695,24.2443,False,STY
8,CO,2,SD,SD,200.1614,24.195,False,STY
8,CO,2,STY,STY,228.55,27.6265,False,STY
8,CO,3,REF,REF,276.1063,33.375,False,STY
8,CO,3,SD,SD,260.0141,31.4298,True,STY
8,CO,3,STY,STY,291.1649,35.1952,False,STY
8,CO,4,REF,REF,376.8693,45.5549,False,STY
8,CO,4,STY,STY,450.416,54.4451,False,STY
9,CT,1,CON,CON,96.1961,19.8689,False,SD
9,CT,1,CTR,CTR,85.7999,17.7216,False,SD
9,CT,1,PRG,PRG,82.8621,17.1148,True,SD
9,CT,1,REF,REF,107.4396,22.1912,False,SD
9,CT,1,SD,SD,111.8567,23.1035,False,SD
9,CT,2,CON,CON,109.537,22.6244,False,SD
9,CT,2,CTR,CTR,103.4304,21.3631,True,SD
9,CT,2,REF,REF,121.3903,25.0726,False,SD
9,CT,2,SD,SD,149.7968,30.9399,False,SD
9,CT,3,CON,CON,149.131,30.8023,True,SD
9,CT,3,REF,REF,152.3373,31.4646,False,SD
9,CT,3,SD,SD,182.6863,37.733,False,SD
9,CT,4,REF,REF,214.6031,44.3253,False,SD
9,CT,4,SD,SD,269.5514,55.6747,False,SD
10,DE,1,CTR,CTR,46.9854,21.6572,False,SD
10,DE,1,DSA,DSA,38.067,17.5464,False,SD
10,DE,1,NAT,NAT,44.3048,20.4217,False,SD
10,DE,1,PRG,PRG,36.5822,16.862,True,SD
10,DE,1,SD,SD,51.0108,23.5127,False,SD
10,DE,2,CTR,CTR,56.9177,26.2354,False,SD
10,DE,2,DSA,DSA,53.4027,24.6152,False,SD
10,DE,2,NAT,NAT,48.3136,22.2694,True,SD
10,DE,2,SD,SD,58.3163,26.88,False,SD
10,DE,3,CTR,CTR,71.8123,33.1008,False,SD
10,DE,3,DSA,DSA,68.3723,31.5152,True,SD
10,DE,3,SD,SD,76.7657,35.384,False,SD
10,DE,4,CTR,CTR,97.8926,45.1221,False,SD
10,DE,4,SD,SD,119.0577,54.8779,False,SD
11,DC,1,CTR,CTR,23.8773,20.3458,False,CTR
11,DC,1,LIB,LIB,27.4628,23.401,False,CTR
11,DC,1,PRG,PRG,24.4365,20.8223,False,CTR
11,DC,1,SD,SD,22.6934,19.337,False,CTR
11,DC,1,STY,STY,18.8872,16.0938,True,CTR
11,DC,2,CTR,CTR,32.6788,27.8456,False,CTR
11,DC,2,LIB,LIB,27.7942,23.6834,False,CTR
11,DC,2,PRG,PRG,29.1888,24.8717,False,CTR
11,DC,2,SD,SD,27.6955,23.5993,True,CTR
11,DC,3,CTR,CTR,44.9468,38.2991,False,CTR
11,DC,3,LIB,LIB,34.6486,29.524,True,CTR
11,DC,3,PRG,PRG,37.7619,32.1769,False,CTR
11,DC,4,CTR,CTR,62.6793,53.409,False,CTR
11,DC,4,PRG,PRG,54.678,46.591,False,CTR
12,FL,1,CON,CON,643.7606,20.2178,False,SD
12,FL,1,CTR,CTR,653.4104,20.5208,False,SD
12,FL,1,REF,REF,510.684,16.0384,True,SD
12,FL,1,SD,SD,692.2478,21.7405,False,SD
12,FL,1,STY,STY,684.0305,21.4825,False,SD
12,FL,2,CON,CON,794.1472,24.9408,False,SD
12,FL,2,CTR,CTR,766.9189,24.0856,True,SD
12,FL,2,SD,SD,817.6564,25.6791,False,SD
12,FL,2,STY,STY,805.4108,25.2945,False,SD
12,FL,3,CON,CON,1046.1103,32.8538,False,SD
12,FL,3,SD,SD,1113.7647,34.9786,False,SD
12,FL,3,STY,STY,1024.2583,32.1676,True,SD
12,FL,4,CON,CON,1537.2645,48.2789,False,SD
12,FL,4,SD,SD,1646.8688,51.7211,False,SD
13,GA,1,CON,CON,305.181,20.7269,False,CON
13,GA,1,CTR,CTR,288.2992,19.5803,False,CON
13,GA,1,NAT,NAT,228.8603,15.5435,True,CON
13,GA,1,SD,SD,330.2995,22.4329,False,CON
13,GA,1,STY,STY,319.7508,21.7164,False,CON
