state_fips,state_abbr,cand_code,cand_label,cand_type,primary_cluster,secondary_cluster,vote_total,vote_pct,quota_threshold,status,winnowing_point
1,AL,CON,CON,pure,0,,25.51,3.5133,122.03,surviving,AL
1,AL,CTR,CTR,pure,6,,28.19,3.8813,122.03,surviving,AL
1,AL,DSA,DSA,pure,8,,0.0,0.0,122.03,eliminated,AL
1,AL,LIB,LIB,pure,4,,0.0,0.0,122.03,eliminated,AL
1,AL,NAT,NAT,pure,3,,0.0,0.0,122.03,eliminated,AL
1,AL,REF,REF,pure,5,,23.23,3.199,122.03,surviving,AL
1,AL,SD,SD,pure,1,,16.73,2.3035,122.03,surviving,AL
1,AL,STY,STY,pure,2,,22.37,3.081,122.03,surviving,AL
2,AK,CON,CON,pure,0,,6.29,4.812,22.77,surviving,AK
2,AK,CTR,CTR,pure,6,,5.38,4.1218,22.77,surviving,AK
2,AK,DSA,DSA,pure,8,,0.0,0.0,22.77,eliminated,AK
2,AK,LIB,LIB,pure,4,,16.59,12.6987,22.77,surviving,AK
2,AK,NAT,NAT,pure,3,,3.14,2.4006,22.77,surviving,AK
2,AK,REF,REF,pure,5,,0.0,0.0,22.77,eliminated,AK
2,AK,SD,SD,pure,1,,8.15,6.2384,22.77,surviving,AK
2,AK,STY,STY,pure,2,,0.0,0.0,22.77,eliminated,AK
4,AZ,CON,CON,pure,0,,29.37,2.5313,194.35,surviving,AZ
4,AZ,CTR,CTR,pure,6,,37.81,3.2594,194.35,surviving,AZ
4,AZ,DSA,DSA,pure,8,,0.0,0.0,194.35,eliminated,AZ
4,AZ,LIB,LIB,pure,4,,0.0,0.0,194.35,eliminated,AZ
4,AZ,NAT,NAT,pure,3,,0.0,0.0,194.35,eliminated,AZ
4,AZ,PRG,PRG,pure,9,,0.0,0.0,194.35,eliminated,AZ
4,AZ,REF,REF,pure,5,,26.65,2.2974,194.35,surviving,AZ
4,AZ,SD,SD,pure,1,,53.54,4.6148,194.35,surviving,AZ
4,AZ,STY,STY,pure,2,,40.98,3.5327,194.35,surviving,AZ
5,AR,CON,CON,pure,0,,16.06,3.8958,69.7,surviving,AR
5,AR,CTR,CTR,pure,6,,21.17,5.1355,69.7,surviving,AR
5,AR,DSA,DSA,pure,8,,0.0,0.0,69.7,eliminated,AR
5,AR,LIB,LIB,pure,4,,62.0,15.0422,69.7,surviving,AR
5,AR,NAT,NAT,pure,3,,0.0,0.0,69.7,eliminated,AR
5,AR,PRG,PRG,pure,9,,0.0,0.0,69.7,eliminated,AR
5,AR,REF,REF,pure,5,,27.97,6.7849,69.7,surviving,AR
5,AR,SD,SD,pure,1,,75.9,18.4138,69.7,surviving,AR
5,AR,STY,STY,pure,2,,0.0,0.0,69.7,eliminated,AR
6,CA,CON,CON,pure,0,,124.37,3.1358,662.03,surviving,CA
6,CA,CTR,CTR,pure,6,,111.33,2.8069,662.03,surviving,CA
6,CA,DSA,DSA,pure,8,,0.0,0.0,662.03,eliminated,CA
6,CA,LIB,LIB,pure,4,,125.21,3.1569,662.03,surviving,CA
6,CA,NAT,NAT,pure,3,,0.0,0.0,662.03,eliminated,CA
6,CA,PRG,PRG,pure,9,,0.0,0.0,662.03,eliminated,CA
6,CA,REF,REF,pure,5,,0.0,0.0,662.03,eliminated,CA
6,CA,SD,SD,pure,1,,139.83,3.5255,662.03,surviving,CA
6,CA,STY,STY,pure,2,,155.3,3.9156,662.03,surviving,CA
8,CO,CON,CON,pure,0,,0.0,0.0,138.88,eliminated,CO
8,CO,CTR,CTR,pure,6,,19.45,2.3515,138.88,surviving,CO
8,CO,DSA,DSA,pure,8,,0.0,0.0,138.88,eliminated,CO
8,CO,LIB,LIB,pure,4,,0.0,0.0,138.88,eliminated,CO
8,CO,NAT,NAT,pure,3,,133.74,16.1661,138.88,surviving,CO
8,CO,PRG,PRG,pure,9,,0.0,0.0,138.88,eliminated,CO
8,CO,REF,REF,pure,5,,27.47,3.3203,138.88,surviving,CO
8,CO,SD,SD,pure,1,,49.83,6.0235,138.88,surviving,CO
8,CO,STY,STY,pure,2,,41.27,4.9884,138.88,surviving,CO
9,CT,CON,CON,pure,0,,21.46,4.4331,81.69,surviving,CT
9,CT,CTR,CTR,pure,6,,16.16,3.3383,81.69,surviving,CT
9,CT,DSA,DSA,pure,8,,0.0,0.0,81.69,eliminated,CT
9,CT,LIB,LIB,pure,4,,0.0,0.0,81.69,eliminated,CT
9,CT,NAT,NAT,pure,3,,0.0,0.0,81.69,eliminated,CT
9,CT,PRG,PRG,pure,9,,82.86,17.1148,81.69,surviving,CT
9,CT,REF,REF,pure,5,,15.6,3.2215,81.69,surviving,CT
9,CT,SD,SD,pure,1,,21.3,4.3994,81.69,surviving,CT
9,CT,STY,STY,pure,2,,0.0,0.0,81.69,eliminated,CT
10,DE,CON,CON,pure,0,,0.0,0.0,37.16,eliminated,DE
10,DE,CTR,CTR,pure,6,,8.76,4.0366,37.16,surviving,DE
10,DE,DSA,DSA,pure,8,,2.38,1.0976,37.16,surviving,DE
10,DE,LIB,LIB,pure,4,,0.0,0.0,37.16,eliminated,DE
10,DE,NAT,NAT,pure,3,,7.76,3.5783,37.16,surviving,DE
10,DE,PRG,PRG,pure,9,,4.2,1.9369,37.16,surviving,DE
10,DE,REF,REF,pure,5,,0.0,0.0,37.16,eliminated,DE
10,DE,SD,SD,pure,1,,8.05,3.7127,37.16,surviving,DE
10,DE,STY,STY,pure,2,,0.0,0.0,37.16,eliminated,DE
11,DC,CON,CON,pure,0,,0.0,0.0,20.56,eliminated,DC
11,DC,CTR,CTR,pure,6,,3.81,3.2436,20.56,surviving,DC
11,DC,DSA,DSA,pure,8,,0.0,0.0,20.56,eliminated,DC
11,DC,LIB,LIB,pure,4,,27.46,23.401,20.56,surviving,DC
11,DC,PRG,PRG,pure,9,,3.11,2.6517,20.56,surviving,DC
11,DC,REF,REF,pure,5,,0.0,0.0,20.56,eliminated,DC
11,DC,SD,SD,pure,1,,2.41,2.0536,20.56,surviving,DC
11,DC,STY,STY,pure,2,,18.89,16.0938,20.56,surviving,DC
