variable,domain,type,stat_label,question,overall,CON,SD,STY,REF,CTR,LIB,CON/CTR,CON/SD,CON/STY,SD/STY,SD/CON,SD/CTR,SD/LIB,STY/REF,STY/SD,STY/CON,REF/STY,CON/REF,CON/NAT,LIB/CTR,REF/SD,CTR/LIB,PRG/DSA,cond_chamber,irv_chamber,cond_pure_chamber,irv_pure_chamber,cond_bloc1,cond_bloc2,cond_bloc3,cond_bloc4,irv_bloc1,irv_bloc2,irv_bloc3,irv_bloc4
CC24_341a,Taxes & Economy,binary,% Supporting,Extend the 2017 tax cuts,62.9096,85.1391,48.868,60.5274,75.7089,76.3888,33.0026,81.8411,68.9803,74.8022,52.7343,66.2491,62.6284,40.9353,67.3591,54.6977,70.5616,70.1084,82.2157,89.3758,50.3571,63.6305,54.6957,16.8652,65.6429,65.373,66.1756,68.3516,67.3591,76.1913,55.7316,46.8848,83.312,72.8549,74.706,50.6697
CC24_341b,Taxes & Economy,binary,% Supporting,Raise corporate income tax from 21% to 28%,57.6828,38.8283,80.3757,53.4382,33.5886,53.0495,90.7269,44.1883,57.3377,44.9645,71.4432,60.4662,66.7126,85.5513,44.5059,66.9069,47.4817,40.9111,37.204,23.07,75.6559,54.6428,71.8882,94.703,57.402,58.0674,58.8074,55.7393,44.5059,46.7825,64.5182,81.6696,37.8131,45.3076,51.5094,75.3911
CC24_341c,Taxes & Economy,binary,% Supporting,Allow rates on $400k+ earners to rise to 35%,65.3484,52.531,86.3894,58.7368,37.998,62.0599,98.0046,56.1224,67.6149,55.1374,77.2198,70.1645,74.2246,92.197,49.4043,72.5631,56.2067,45.6485,48.0258,30.4926,83.6267,59.7741,80.0322,99.8911,65.9291,66.7156,66.8877,64.088,49.4043,57.4512,70.111,87.8413,49.7152,54.3601,62.5068,81.3034
CC24_341d,Taxes & Economy,binary,% Supporting,Spend $150B/yr on infrastructure,80.4546,78.4184,90.7076,70.879,61.252,79.6649,97.4358,78.8882,83.8932,75.2519,84.1324,84.8186,85.1863,94.0717,66.5469,80.7933,73.9528,64.8034,73.0968,66.874,90.3274,74.507,88.5504,98.3112,80.5767,81.2963,80.8255,79.5806,66.5469,78.0939,79.0349,91.5486,75.0924,73.5845,81.6544,87.0106
CC24_302,Taxes & Economy,ordinal,Weighted mean,Household income change past year (1=Increased a lot … 5=Decreased a lot),3.1199,3.2872,2.949,3.1641,3.4277,3.0302,2.6856,3.1903,3.1365,3.2355,3.0203,3.1111,2.9896,2.8173,3.2827,3.0565,3.2143,3.3305,3.3308,3.4148,2.8234,3.2123,2.8579,2.8302,3.1256,3.1147,3.0841,3.1206,3.2827,3.2184,3.0756,2.9161,3.3144,3.2398,3.1594,2.9831
CC24_302,Taxes & Economy,ordinal_dist,% Increased a lot,Household income change past year (1=Increased a lot … 5=Decreased a lot),3.03,1.16,4.0,3.28,1.78,5.87,4.88,2.9352,2.4252,2.0504,3.7612,2.6391,4.935,4.44,2.605,3.64,2.4157,2.3334,1.3522,1.1453,5.276,2.779,5.375,4.61,2.9329,3.0575,3.8641,3.5214,2.605,2.1999,3.5761,4.11,1.2801,2.2037,2.677,3.8856
CC24_302,Taxes & Economy,ordinal_dist,% Increased somewhat,Household income change past year (1=Increased a lot … 5=Decreased a lot),19.74,12.07,25.75,19.94,11.67,18.05,35.05,14.3239,18.1644,15.3754,23.8234,19.1945,21.9,30.4,16.2185,22.845,16.7314,14.7208,11.946,9.3113,28.25,18.006,26.55,31.883,19.1928,19.3536,19.6559,18.5527,16.2185,15.2048,22.3298,26.9125,11.9925,15.7419,16.4711,24.8958
CC24_302,Taxes & Economy,ordinal_dist,% Stayed same,Household income change past year (1=Increased a lot … 5=Decreased a lot),50.26,55.02,49.56,46.94,46.53,51.67,50.05,53.7574,52.5876,51.6264,48.6912,52.1764,50.615,49.805,46.7555,48.25,50.2342,46.6812,52.3881,51.9967,50.698,47.8935,50.86,46.374,50.788,50.9191,50.571,50.7339,46.7555,52.5025,48.0177,49.6213,53.3751,50.5826,53.0959,49.059
CC24_302,Taxes & Economy,ordinal_dist,% Decreased somewhat,Household income change past year (1=Increased a lot … 5=Decreased a lot),16.15,20.37,12.71,16.75,22.02,16.01,6.66,18.7267,16.9575,18.8496,14.0497,16.3807,14.36,9.685,19.1215,14.73,18.2259,20.0759,20.8815,21.9968,10.4,17.8305,11.335,10.122,16.533,16.383,16.0071,16.7175,19.1215,18.7249,15.0883,11.9538,20.6897,18.791,17.7297,13.317
CC24_302,Taxes & Economy,ordinal_dist,% Decreased a lot,Household income change past year (1=Increased a lot … 5=Decreased a lot),10.82,11.38,7.97,13.08,17.99,8.4,3.36,10.2568,9.8608,12.094,9.6645,9.6041,8.185,5.665,15.2895,10.525,12.3869,16.1787,13.4291,15.5499,5.376,13.481,5.88,7.004,10.5476,10.2815,9.8967,10.4694,15.2895,11.3648,10.9782,7.3938,12.6607,12.6754,10.0238,8.8329
