state_fips,state_abbr,senator_code,senator_label,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON/CTR_pct,finalist_CON/LIB_pct,finalist_CON/NAT_pct,finalist_CON/REF_pct,finalist_CON/SD_pct,finalist_CON/STY_pct,finalist_CON_pct,finalist_CTR/SD_pct,finalist_CTR_pct,finalist_LIB/CTR_pct,finalist_LIB/PRG_pct,finalist_LIB/SD_pct,finalist_LIB_pct,finalist_NAT_pct,finalist_PRG/LIB_pct,finalist_REF/CTR_pct,finalist_REF/SD_pct,finalist_REF/STY_pct,finalist_REF_pct,finalist_SD/CON_pct,finalist_SD/CTR_pct,finalist_SD/DSA_pct,finalist_SD/LIB_pct,finalist_SD/STY_pct,finalist_SD_pct,finalist_STY/CON_pct,finalist_STY/REF_pct,finalist_STY/SD_pct,finalist_STY_pct
1,AL,CON/STY,CON/STY,wildcard,0,2.0,726.21,14,5,,,3.7658,5.281,,4.7327,,,,,,,,,,,,,,,,,,,1.4009,,,0.7978,
2,AK,STY/REF,STY/REF,cooc,2,5.0,130.64,13,5,,,,,,,1.8963,,0.78,,,,,,,,,,,,,,7.8195,,10.6802,,9.0954,,
4,AZ,REF/STY,REF/STY,cooc,5,2.0,1160.11,15,5,,,5.0061,,,,1.6704,,,,,,0.3668,,,,,8.9236,,,,,,,0.2687,,,,
5,AR,STY,STY,pure,2,,412.18,15,5,,,3.3188,,,5.0584,,,,,,,,,,,,,,,,,,16.2856,3.2714,,,,21.338
6,CA,SD/STY,SD/STY,cooc,1,2.0,3966.17,14,5,,,,,,,4.1532,,,,,,0.1448,,,,,,,,,,,0.5803,1.748,,9.9143,,
8,CO,REF/STY,REF/STY,cooc,5,2.0,827.29,15,5,,,,1.0656,,,1.79,,,,,,3.5927,,,,,1.5409,,,,,,,8.073,,,,
9,CT,SD/STY,SD/STY,cooc,1,2.0,484.15,14,5,,,,,,9.6373,,,,,,,0.0676,,,,,,,,,,,0.2169,1.7345,,3.9777,,
10,DE,SD/CON,SD/CON,cooc,1,0.0,216.95,13,5,,,,3.7604,,,,,16.6829,,,,,,,,,,,9.2144,,,,,17.6694,,,,1.29
11,DC,SD/STY,SD/STY,cooc,1,2.0,117.36,14,5,,,,,,,,,,,13.5154,,1.9005,,,,,,,,,2.8733,,15.9485,13.2059,,,,
12,FL,CON/STY,CON/STY,wildcard,0,2.0,3184.13,15,5,,,,0.3799,,1.4093,1.7744,,,,,,,,,,,,,,,,9.1958,,,,,,3.7503
13,GA,CON/SD,CON/SD,wildcard,0,1.0,1472.39,15,5,,,,,3.3841,,5.908,,,,,,,,,,,,,,,,2.5567,,,,1.8832,,2.5951
15,HI,SD/STY,SD/STY,cooc,1,2.0,203.15,14,5,,7.6255,,1.8446,,,17.5715,,,,,,,,,,,,,,,,,2.0525,2.2703,,,,
16,ID,CON/REF,CON/REF,cooc,0,5.0,325.33,14,5,,,,15.1702,,,17.4457,,15.7774,,,,,,,,,,,,,,,0.4592,0.2254,,,,
17,IL,SD/CTR,SD/CTR,cooc,1,6.0,1460.33,15,5,2.0303,,,7.6712,,,,,,,,,,,,,,,,,4.0868,,0.7389,,1.7971,,,,
