state_fips,state_abbr,candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,margin,margin_pct,locked,lock_order,rp_winner_overall
1,AL,CON/NAT,CON/REF,233.68240319715193,492.52569568392175,258.84,35.6431,True,4,CON/STY
1,AL,CON/NAT,CON/STY,231.49014874436978,494.71795013670396,263.23,36.2469,True,3,CON/STY
1,AL,CON/NAT,SD,375.7402029303213,350.46789595075234,25.27,3.48,True,10,CON/STY
1,AL,CON/NAT,STY/SD,331.88577704972664,394.32232183134704,62.44,8.5976,True,8,CON/STY
1,AL,CON/REF,CON/STY,286.40681638574415,439.8012824953296,153.39,21.1227,True,6,CON/STY
1,AL,CON/REF,SD,410.7155640715524,315.4925348095213,95.22,13.1124,True,7,CON/STY
1,AL,CON/REF,STY/SD,376.8330707120059,349.37502816906783,27.46,3.781,True,9,CON/STY
1,AL,CON/STY,SD,529.3606527258218,196.84744615525193,332.51,45.7876,True,1,CON/STY
1,AL,CON/STY,STY/SD,440.4529307451162,285.75516813595743,154.7,21.3021,True,5,CON/STY
1,AL,SD,STY/SD,198.74839527526223,527.4597036058115,328.71,45.2641,True,2,CON/STY
2,AK,CON,CTR,36.78523708775931,93.8531008770141,57.07,43.6839,True,2,STY/REF
2,AK,CON,SD,57.04302602904871,73.59531193572472,16.55,12.6703,True,6,STY/REF
2,AK,CON,SD/LIB,58.24483907502728,72.39349888974616,14.15,10.8304,True,7,STY/REF
2,AK,CON,STY/REF,27.46758398844897,103.17075397632445,75.7,57.9487,True,1,STY/REF
2,AK,CTR,SD,65.546315721443,65.09202224333043,0.45,0.3477,True,10,STY/REF
2,AK,CTR,SD/LIB,64.88740114273564,65.75093682203779,0.86,0.661,True,9,STY/REF
2,AK,CTR,STY/REF,50.81240291048365,79.82593505428977,29.01,22.209,True,4,STY/REF
2,AK,SD,SD/LIB,61.11742779209934,69.52091017267409,8.4,6.4326,True,8,STY/REF
2,AK,SD,STY/REF,49.73952496624431,80.89881299852914,31.16,23.8516,True,3,STY/REF
2,AK,SD/LIB,STY/REF,50.82985972238202,79.8084782423914,28.98,22.1823,True,5,STY/REF
4,AZ,CON,CON/NAT,581.1402737066448,578.9649737777803,2.18,0.1875,True,10,REF/STY
4,AZ,CON,LIB,712.124337699716,447.9809097847092,264.14,22.7689,True,7,REF/STY
4,AZ,CON,REF/STY,383.1063375514525,776.9989099329725,393.89,33.9532,True,3,REF/STY
4,AZ,CON,SD,596.803846494505,563.30140098992,33.5,2.8879,True,8,REF/STY
4,AZ,CON/NAT,LIB,736.9069596238635,423.19828786056155,313.71,27.0414,True,5,REF/STY
4,AZ,CON/NAT,REF/STY,394.4570486646513,765.6481988197738,371.19,31.9963,True,4,REF/STY
4,AZ,CON/NAT,SD,583.473657828193,576.631589656232,6.84,0.5898,True,9,REF/STY
4,AZ,LIB,REF/STY,269.9346385323116,890.1706089521135,620.24,53.4638,True,1,REF/STY
4,AZ,LIB,SD,351.99374983452844,808.1114976498966,456.12,39.3169,True,2,REF/STY
4,AZ,REF/STY,SD,718.3622680876622,441.74297939676273,276.62,23.8443,True,6,REF/STY
5,AR,CON/NAT,CON/STY,87.66149166273503,324.52046705722563,236.86,57.4647,True,1,STY
5,AR,CON/NAT,SD,205.83610731842026,206.34585140154036,0.51,0.1237,True,10,STY
5,AR,CON/NAT,SD/STY,167.0422079114091,245.1397508085515,78.1,18.9473,True,6,STY
5,AR,CON/NAT,STY,152.87743645568406,259.30452226427656,106.43,25.8204,True,4,STY
5,AR,CON/STY,SD,251.39263970234592,160.78931901761473,90.6,21.9814,True,5,STY
5,AR,CON/STY,SD/STY,210.4406677713318,201.74129094862883,8.7,2.1106,True,9,STY
5,AR,CON/STY,STY,190.07217600054338,222.10978271941727,32.04,7.7727,True,8,STY
5,AR,SD,SD/STY,107.3858120733372,304.79614664662336,197.41,47.894,True,2,STY
5,AR,SD,STY,129.78411784933172,282.3978408706289,152.61,37.0258,True,3,STY
5,AR,SD/STY,STY,168.26941450898897,243.91254421097165,75.64,18.3519,True,7,STY
6,CA,CON,LIB,2134.107822340276,1832.0644533096186,302.04,7.6155,True,9,SD/STY
6,CA,CON,SD,1503.5550210081647,2462.61725464173,959.06,24.1811,True,7,SD/STY
6,CA,CON,SD/STY,1184.810311116099,2781.361964533796,1596.55,40.2542,True,5,SD/STY
6,CA,CON,STY/REF,1029.3295347347585,2936.842740915136,1907.51,48.0946,True,2,SD/STY
6,CA,LIB,SD,1105.4777281291554,2860.6945475207394,1755.22,44.2547,True,3,SD/STY
6,CA,LIB,SD/STY,852.1729200895459,3113.9993555603487,2261.83,57.0279,True,1,SD/STY
6,CA,LIB,STY/REF,1164.244070479969,2801.9282051699256,1637.68,41.2913,True,4,SD/STY
6,CA,SD,SD/STY,1292.1424706427683,2674.0298050071265,1381.89,34.8418,True,6,SD/STY
6,CA,SD,STY/REF,1880.237325459771,2085.9349501901233,205.7,5.1863,True,10,SD/STY
6,CA,SD/STY,STY/REF,2180.5117857408495,1785.6604899090448,394.85,9.9555,True,8,SD/STY
8,CO,CON,CON/REF,193.21663599040585,634.0686607039802,440.85,53.289,True,1,REF/STY
8,CO,CON,LIB,430.44523676853055,396.8400599258555,33.61,4.0621,True,8,REF/STY
8,CO,CON,REF/STY,261.00664852826077,566.2786481661253,305.27,36.9005,True,3,REF/STY
8,CO,CON,SD,369.88476960870923,457.4005270856768,87.52,10.5787,True,7,REF/STY
8,CO,CON/REF,LIB,510.76375592254857,316.5215407718375,194.24,23.4795,True,6,REF/STY
8,CO,CON/REF,REF/STY,314.0917096207972,513.1935870735889,199.1,24.0669,True,5,REF/STY
8,CO,CON/REF,SD,418.66219289094647,408.6231038034396,10.04,1.2135,True,10,REF/STY
8,CO,LIB,REF/STY,245.29620008040638,581.9890966139798,336.69,40.6985,True,2,REF/STY
8,CO,LIB,SD,294.0960852833634,533.1892114110226,239.09,28.9009,True,4,REF/STY
8,CO,REF/STY,SD,424.6263684912529,402.65892820313326,21.97,2.6554,True,9,REF/STY
9,CT,CON/STY,LIB,335.7303914273257,148.42412647408779,187.31,38.6873,True,3,SD/STY
9,CT,CON/STY,SD,256.84244006696474,227.3120778344487,29.53,6.0994,True,9,SD/STY
9,CT,CON/STY,SD/STY,212.7822160982509,271.3723018031626,58.59,12.1015,True,6,SD/STY
9,CT,CON/STY,STY/REF,227.00648285174054,257.1480350496729,30.14,6.2256,True,8,SD/STY
9,CT,LIB,SD,130.31068293322375,353.84383496818975,223.53,46.1698,True,2,SD/STY
9,CT,LIB,SD/STY,106.37466815280317,377.7798497486103,271.41,56.0576,True,1,SD/STY
9,CT,LIB,STY/REF,153.1597843214209,330.99473357999256,177.83,36.731,True,5,SD/STY
9,CT,SD,SD/STY,150.24349102100234,333.9110268804112,183.67,37.9357,True,4,SD/STY
