state_fips,state_abbr,winner_code,winner_label,winner_type,winner_primary_cluster,winner_secondary_cluster,runner_up_code,runner_up_label,runner_up_type,runner_up_primary_cluster,runner_up_secondary_cluster,n_irv_rounds,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON/CTR_pct,finalist_CON/NAT_pct,finalist_CON/REF_pct,finalist_CON/SD_pct,finalist_CON/STY_pct,finalist_CON_pct,finalist_CTR/LIB_pct,finalist_CTR/REF_pct,finalist_CTR_pct,finalist_DSA_pct,finalist_LIB/PRG_pct,finalist_LIB/SD_pct,finalist_LIB_pct,finalist_PRG/DSA_pct,finalist_PRG/LIB_pct,finalist_PRG_pct,finalist_REF/CON_pct,finalist_REF/CTR_pct,finalist_REF/SD_pct,finalist_REF/STY_pct,finalist_REF_pct,finalist_SD/CON_pct,finalist_SD/CTR_pct,finalist_SD/DSA_pct,finalist_SD/LIB_pct,finalist_SD/STY_pct,finalist_SD_pct,finalist_STY/CON_pct,finalist_STY/REF_pct,finalist_STY/SD_pct,finalist_STY_pct
1,AL,CON/STY,CON/STY,wildcard,0,2.0,STY/SD,STY/SD,cooc,2,1.0,4,726.21,14,5,1.7627,,2.8857,,3.2384,,,,,,,,,,,,,,,,,,,,,,,,,4.8855,3.8943
2,AK,CTR,CTR,pure,6,,STY/REF,STY/REF,cooc,2,5.0,4,130.64,13,5,,,,,,,,2.4858,8.0419,,,,0.9959,,,,,,,,,,,,,,0.9122,,4.2308,,
4,AZ,STY/SD,STY/SD,cooc,2,1.0,CTR,CTR,pure,6,,4,1160.11,15,5,2.4918,,,,,,,,3.8788,,,,,,,,,,,3.9511,,,,,,,,,,4.9703,1.3746
5,AR,CON/STY,CON/STY,cooc,0,2.0,CON/NAT,CON/NAT,cooc,0,3.0,4,412.18,15,5,,2.8283,,,3.4972,7.8327,,,1.661,,,,,,,,,,,,,,,,0.8475,,,,,,
6,CA,SD/STY,SD/STY,cooc,1,2.0,SD/LIB,SD/LIB,cooc,1,4.0,4,3966.17,14,5,,,2.7164,,,,,,,,,,,,,,,,,,,,,,4.0005,3.4563,,,2.3307,,4.1627
8,CO,CON/SD,CON/SD,wildcard,0,1.0,REF,REF,pure,5,,4,827.29,15,5,2.4663,,,4.2767,,,,,,,,,,,,,,,,,4.2077,,,,1.3157,,4.4002,,,,
9,CT,CON/STY,CON/STY,cooc,0,2.0,STY/REF,STY/REF,cooc,2,5.0,4,484.15,14,5,,,,,3.3467,,,,,,,,,,,,,,,,,,,,3.3868,4.4163,2.3826,,3.1343,,
10,DE,SD/CON,SD/CON,cooc,1,0.0,CON,CON,pure,0,,4,216.95,13,5,,,7.7213,,,1.6531,,,,,,,,,,,,,,,,4.0261,2.1816,,,,1.0846,,,,
11,DC,SD/STY,SD/STY,cooc,1,2.0,STY/REF,STY/REF,cooc,2,5.0,4,117.36,14,5,,,,,,,,,,,,,2.4627,,,1.5163,,,,,,,,,,4.412,5.6604,,2.6153,,
12,FL,CON/CTR,CON/CTR,cooc,0,6.0,STY/REF,STY/REF,cooc,2,5.0,4,3184.13,15,5,4.6963,,,,,,,,3.1868,,,,,,,,,,,,,,,,,,2.6546,,3.368,,2.7609
13,GA,CON/SD,CON/SD,wildcard,0,1.0,CTR,CTR,pure,6,,4,1472.39,15,5,,,,3.6489,2.7979,,,,5.0377,,,,,,,,,,,,,,,,,,3.0204,,,,2.1618
15,HI,SD/STY,SD/STY,cooc,1,2.0,SD/CON,SD/CON,wildcard,1,0.0,4,203.15,14,5,,,,,,,,,,,,,,,,,,,,,,2.7754,,,3.69,3.9716,2.7417,,3.488,,
16,ID,CON/CTR,CON/CTR,cooc,0,6.0,CON/REF,CON/REF,cooc,0,5.0,4,325.33,14,5,3.517,,2.6367,,,,,,,,,,2.8444,,,,,,,,1.1128,,,,,,,,,,6.5558
17,IL,SD,SD,pure,1,,SD/CTR,SD/CTR,cooc,1,6.0,4,1460.33,15,5,,,,,,,,,,,,,,,,,,,,,,,3.8649,,,1.872,4.1681,,4.7311,,2.0305
18,IN,CON/REF,CON/REF,cooc,0,5.0,REF,REF,pure,5,,4,994.99,14,5,,,3.793,,,,,,,,,,,,,,,,,,4.0217,,,,3.055,3.6482,2.1488,,,,
19,IA,SD/STY,SD/STY,cooc,1,2.0,CON/CTR,CON/CTR,cooc,0,6.0,4,446.79,14,5,2.8772,,,,,3.242,,,,,,,,,,,,,,,,,,,,5.3899,,,3.1333,,2.0244
20,KS,CON/REF,CON/REF,cooc,0,5.0,STY,STY,pure,2,,4,372.7,14,5,3.5878,,5.798,,,,,,2.5453,,,2.5144,,,,,,,,,,,,,,,,,,,2.2212
21,KY,CON/CTR,CON/CTR,cooc,0,6.0,STY/REF,STY/REF,cooc,2,5.0,4,717.93,13,5,3.8219,,,,,3.496,,,,,,,,,,,,,,,,,,,,,2.6837,,4.6163,2.0487,
22,LA,CON,CON,pure,0,,CON/CTR,CON/CTR,cooc,0,6.0,4,508.41,13,5,3.8995,,,,3.979,3.2121,,,,,,,,,,,,,,,,,,,,,,,2.4951,3.0809,
23,ME,REF/STY,REF/STY,cooc,5,2.0,SD/LIB,SD/LIB,cooc,1,4.0,4,243.16,15,5,,,,,,,,,,,,,4.1769,,,,2.004,,,3.5797,,,,,4.3809,,2.5252,,,,
24,MD,SD/STY,SD/STY,cooc,1,2.0,STY,STY,pure,2,,4,782.14,14,5,,,,,,,,,,,2.3637,,,,,,,,,,,,,,1.6628,4.3421,3.5129,,,,4.7852
25,MA,SD,SD,pure,1,,SD/LIB,SD/LIB,cooc,1,4.0,4,790.97,16,5,,,,,,,,,4.3064,2.9161,,,2.0154,,,,,,,,,,,,5.1005,,2.3283,,,,
26,MI,SD,SD,pure,1,,SD/LIB,SD/LIB,cooc,1,4.0,4,1329.58,14,5,,3.163,4.7131,,,,,,,,,,,,,,,,,,,,,,2.6911,2.9812,3.1183,,,,
27,MN,SD/STY,SD/STY,cooc,1,2.0,CON/CTR,CON/CTR,cooc,0,6.0,4,714.01,14,5,3.3504,,3.3212,,,,,,,,,,,,,1.8501,,,,,,,,,,3.9316,4.2134,,,,
28,MS,CON/CTR,CON/CTR,cooc,0,6.0,STY/CON,STY/CON,wildcard,2,0.0,4,444.25,13,5,5.0361,0.9572,5.1969,,,2.2951,,,,,,,,,,,,,,,,,,,,,,3.1814,,,
29,MO,CON/REF,CON/REF,cooc,0,5.0,STY/SD,STY/SD,cooc,2,1.0,4,950.73,15,5,,,3.8015,,,,,,,,,,,,,,,,,,,,,3.2146,,,,,2.1963,3.1849,4.2693
30,MT,CON/REF,CON/REF,cooc,0,5.0,STY/REF,STY/REF,cooc,2,5.0,4,257.38,14,5,,1.5774,6.1968,,,3.2289,,,,,,,,,,,,,,,2.5663,,,,,,,,3.0973,,
31,NE,CON/SD,CON/SD,wildcard,0,1.0,CTR,CTR,pure,6,,4,295.91,15,5,,,,3.6529,,,,,1.5505,,,,,,,,,,,,4.6656,,,,3.0754,,,,3.7222,,
32,NV,SD/STY,SD/STY,cooc,1,2.0,STY/REF,STY/REF,cooc,2,5.0,4,707.53,16,5,,,,3.3051,4.3631,,,,,,,,1.0863,,,,,,,,,,,,,3.8861,,,4.0261,,
33,NH,SD/LIB,SD/LIB,cooc,1,4.0,CON/CTR,CON/CTR,cooc,0,6.0,4,264.7,15,5,3.8573,,,,,,,,2.3979,,,,,,,,,,,,,,3.9695,,4.1645,,2.2775,,,,
34,NJ,CON/SD,CON/SD,wildcard,0,1.0,STY/REF,STY/REF,cooc,2,5.0,4,1162.21,16,5,3.2797,,,2.8406,,,,,,,,,,,,,,,,,1.0863,,,,,,6.2205,,3.2395,,
35,NM,CON/STY,CON/STY,wildcard,0,2.0,SD/LIB,SD/LIB,cooc,1,4.0,4,415.1,16,5,,,,,5.1194,2.4735,,,,,,,,,,,,,,,0.946,6.0771,,,2.0506,,,,,,
36,NY,SD/STY,SD/STY,cooc,1,2.0,CTR,CTR,pure,6,,4,2314.44,15,5,,,,,,,,,3.2902,,,,,,,,,,,,,,,,,4.0754,3.5862,,2.029,,3.6859
37,NC,CON/CTR,CON/CTR,cooc,0,6.0,SD/LIB,SD/LIB,cooc,1,4.0,4,1455.35,15,5,3.7662,3.837,,,,,,,,,,,,,,,,,,,,,,,4.0784,,1.8761,,,3.1089,
38,ND,CTR/LIB,CTR/LIB,cooc,6,4.0,REF/STY,REF/STY,cooc,5,2.0,4,112.02,15,5,,0.9175,,,,,3.3406,,,,,,,,,,,2.6662,8.6081,1.1344,,,,,,,,,,,
39,OH,CON/REF,CON/REF,cooc,0,5.0,CON/CTR,CON/CTR,cooc,0,6.0,4,1727.15,14,5,2.5739,,4.9279,,,,,,,,,,,,,,,,,,,,,,,,2.113,,4.0394,3.0125,
40,OK,CON,CON,pure,0,,LIB,LIB,pure,4,,4,606.2,14,5,5.8563,,,,,3.3472,,,,,,,2.1015,,,,,,,,,,,,,,,,3.5624,1.7993,
41,OR,SD,SD,pure,1,,SD/DSA,SD/DSA,cooc,1,8.0,4,861.73,15,5,,,1.8426,,,,,,,,3.839,,,,,,,,,,2.5141,,,3.72,,,4.751,,,,
42,PA,CON/SD,CON/SD,wildcard,0,1.0,SD/STY,SD/STY,cooc,1,2.0,4,2189.53,16,5,,,,3.9482,,3.4357,,,,,,,,,,,,,,,,,,,,3.2876,,,1.9834,,4.0118
44,RI,LIB,LIB,pure,4,,CON,CON,pure,0,,4,163.32,15,5,4.2065,,,,,7.61,,,,,,,2.0233,,,,,,,,,,,,0.3368,,,,,,2.49
45,SC,CTR,CTR,pure,6,,STY/SD,STY/SD,cooc,2,1.0,4,730.29,15,5,,,,,3.5323,,,,3.5126,,,,,,,,,,,,,,,,,,1.4395,,2.6644,5.5179,
46,SD,CON/CTR,CON/CTR,cooc,0,6.0,SD/LIB,SD/LIB,cooc,1,4.0,4,141.48,15,5,2.5499,,,,,3.428,,,,,,,,,,,,,,,0.5976,,,,7.3562,,,,,2.7349,
47,TN,CON,CON,pure,0,,CTR,CTR,pure,6,,4,1143.42,12,5,4.7089,,4.64,,,2.2372,,,2.4655,,,,,,,,,,,,,,,,,,,,2.615,,
48,TX,STY/CON,STY/CON,wildcard,2,0.0,STY/REF,STY/REF,cooc,2,5.0,4,3555.07,15,5,,,3.6106,,,,,,,,,,,,,,,,,,,,,,3.1167,,,3.9006,3.0804,2.9584,
49,UT,STY,STY,pure,2,,STY/SD,STY/SD,cooc,2,1.0,4,462.14,14,5,,5.0253,,,,,,,,,,,1.6276,,,,,,,,,,,,1.4108,,,,,4.8133,3.7898
50,VT,PRG/DSA,PRG/DSA,cooc,9,8.0,PRG/LIB,PRG/LIB,cooc,9,4.0,4,107.67,14,5,,,,,,,,,0.72,,,,,5.3857,2.4964,,,,,,,,,,4.3388,,,,,,3.7258
51,VA,CON/SD,CON/SD,wildcard,0,1.0,CON/REF,CON/REF,cooc,0,5.0,4,1326.72,16,5,,,2.928,4.1975,,,,,,,,,3.0559,,,,,,,,2.5602,,,,3.925,,,,,,
53,WA,SD,SD,pure,1,,CTR,CTR,pure,6,,4,1221.78,15,5,,,,,,3.7296,,,2.1395,,,,,,,,,,,,,,,4.3631,,2.6776,3.7569,,,,
54,WV,STY/REF,STY/REF,cooc,2,5.0,SD,SD,pure,1,,4,360.26,15,5,,,,2.4402,3.13,2.2135,,,,,,,,,,,,,,,,,,,,,3.8593,,5.0237,,
55,WI,SD,SD,pure,1,,STY,STY,pure,2,,4,969.41,15,5,,,3.7735,,,,,,4.0263,,,,,,,,,,,,2.3901,,,,,,4.8909,,,,1.586
56,WY,STY,STY,pure,2,,REF,REF,pure,5,,4,98.3,13,5,2.9989,,,,,0.9708,,,,,,,,,,,,,,,4.5684,,,,,,,,,3.6173,4.5112
