state_fips,state_abbr,cand_code,cand_label,cand_type,primary_cluster,secondary_cluster,vote_total,vote_pct,quota_threshold,status,winnowing_point
1,AL,CON,CON,pure,0,,0.0,0.0,121.03,eliminated,AL
1,AL,CON/CTR,CON/CTR,cooc,0,6.0,0.0,0.0,121.03,eliminated,AL
1,AL,CON/NAT,CON/NAT,cooc,0,3.0,27.98,3.8531,121.03,surviving,AL
1,AL,CON/REF,CON/REF,cooc,0,5.0,41.11,5.6606,121.03,surviving,AL
1,AL,CON/STY,CON/STY,wildcard,0,2.0,35.56,4.8965,121.03,surviving,AL
1,AL,CTR,CTR,pure,6,,0.0,0.0,121.03,eliminated,AL
1,AL,DSA,DSA,pure,8,,0.0,0.0,121.03,eliminated,AL
1,AL,NAT,NAT,pure,3,,0.0,0.0,121.03,eliminated,AL
1,AL,REF,REF,pure,5,,0.0,0.0,121.03,eliminated,AL
1,AL,SD,SD,pure,1,,10.47,1.4423,121.03,surviving,AL
1,AL,SD/DSA,SD/DSA,cooc,1,8.0,0.0,0.0,121.03,eliminated,AL
1,AL,STY,STY,pure,2,,0.0,0.0,121.03,eliminated,AL
1,AL,STY/REF,STY/REF,cooc,2,5.0,0.0,0.0,121.03,eliminated,AL
1,AL,STY/SD,STY/SD,cooc,2,1.0,5.91,0.8142,121.03,surviving,AL
2,AK,CON,CON,pure,0,,0.0,0.0,21.77,eliminated,AK
2,AK,CON/NAT,CON/NAT,cooc,0,3.0,0.0,0.0,21.77,eliminated,AK
2,AK,CTR,CTR,pure,6,,0.36,0.273,21.77,surviving,AK
2,AK,CTR/CON,CTR/CON,cooc,6,0.0,1.34,1.0252,21.77,surviving,AK
2,AK,CTR/REF,CTR/REF,cooc,6,5.0,0.0,0.0,21.77,eliminated,AK
2,AK,LIB,LIB,pure,4,,0.0,0.0,21.77,eliminated,AK
2,AK,NAT,NAT,pure,3,,0.0,0.0,21.77,eliminated,AK
2,AK,REF,REF,pure,5,,0.0,0.0,21.77,eliminated,AK
2,AK,SD,SD,pure,1,,2.05,1.5721,21.77,surviving,AK
2,AK,SD/LIB,SD/LIB,cooc,1,4.0,2.1,1.6092,21.77,surviving,AK
2,AK,SD/STY,SD/STY,cooc,1,2.0,0.0,0.0,21.77,eliminated,AK
2,AK,STY,STY,pure,2,,0.0,0.0,21.77,eliminated,AK
2,AK,STY/REF,STY/REF,cooc,2,5.0,15.92,12.1872,21.77,surviving,AK
4,AZ,CON,CON,pure,0,,19.65,1.6939,193.35,surviving,AZ
4,AZ,CON/CTR,CON/CTR,cooc,0,6.0,0.0,0.0,193.35,eliminated,AZ
4,AZ,CON/NAT,CON/NAT,cooc,0,3.0,60.24,5.1928,193.35,surviving,AZ
4,AZ,CON/REF,CON/REF,cooc,0,5.0,0.0,0.0,193.35,eliminated,AZ
4,AZ,CTR,CTR,pure,6,,0.0,0.0,193.35,eliminated,AZ
4,AZ,DSA,DSA,pure,8,,0.0,0.0,193.35,eliminated,AZ
4,AZ,LIB,LIB,pure,4,,5.23,0.4506,193.35,surviving,AZ
4,AZ,NAT,NAT,pure,3,,0.0,0.0,193.35,eliminated,AZ
4,AZ,NAT/REF,NAT/REF,cooc,3,5.0,0.0,0.0,193.35,eliminated,AZ
4,AZ,PRG,PRG,pure,9,,0.0,0.0,193.35,eliminated,AZ
4,AZ,REF,REF,pure,5,,0.0,0.0,193.35,eliminated,AZ
4,AZ,REF/STY,REF/STY,cooc,5,2.0,104.87,9.0394,193.35,surviving,AZ
4,AZ,SD,SD,pure,1,,3.37,0.2901,193.35,surviving,AZ
4,AZ,STY,STY,pure,2,,0.0,0.0,193.35,eliminated,AZ
4,AZ,STY/SD,STY/SD,cooc,2,1.0,0.0,0.0,193.35,eliminated,AZ
5,AR,CON,CON,pure,0,,0.0,0.0,68.7,eliminated,AR
5,AR,CON/CTR,CON/CTR,cooc,0,6.0,0.0,0.0,68.7,eliminated,AR
5,AR,CON/NAT,CON/NAT,cooc,0,3.0,13.17,3.1941,68.7,surviving,AR
5,AR,CON/SD,CON/SD,wildcard,0,1.0,0.0,0.0,68.7,eliminated,AR
5,AR,CON/STY,CON/STY,cooc,0,2.0,19.05,4.6214,68.7,surviving,AR
5,AR,CTR,CTR,pure,6,,0.0,0.0,68.7,eliminated,AR
5,AR,DSA,DSA,pure,8,,0.0,0.0,68.7,eliminated,AR
5,AR,LIB,LIB,pure,4,,0.0,0.0,68.7,eliminated,AR
5,AR,NAT,NAT,pure,3,,0.0,0.0,68.7,eliminated,AR
5,AR,REF,REF,pure,5,,0.0,0.0,68.7,eliminated,AR
5,AR,REF/STY,REF/STY,cooc,5,2.0,0.0,0.0,68.7,eliminated,AR
5,AR,SD,SD,pure,1,,5.67,1.3763,68.7,surviving,AR
5,AR,SD/LIB,SD/LIB,cooc,1,4.0,0.0,0.0,68.7,eliminated,AR
5,AR,SD/STY,SD/STY,cooc,1,2.0,5.24,1.2712,68.7,surviving,AR
5,AR,STY,STY,pure,2,,25.57,6.2037,68.7,surviving,AR
6,CA,CON,CON,pure,0,,166.51,4.1983,661.03,surviving,CA
6,CA,CON/CTR,CON/CTR,cooc,0,6.0,0.0,0.0,661.03,eliminated,CA
6,CA,CON/REF,CON/REF,cooc,0,5.0,0.0,0.0,661.03,eliminated,CA
6,CA,CTR,CTR,pure,6,,0.0,0.0,661.03,eliminated,CA
6,CA,LIB,LIB,pure,4,,6.03,0.152,661.03,surviving,CA
6,CA,NAT,NAT,pure,3,,0.0,0.0,661.03,eliminated,CA
6,CA,PRG,PRG,pure,9,,0.0,0.0,661.03,eliminated,CA
6,CA,REF,REF,pure,5,,0.0,0.0,661.03,eliminated,CA
6,CA,REF/NAT,REF/NAT,cooc,5,3.0,0.0,0.0,661.03,eliminated,CA
6,CA,SD,SD,pure,1,,71.33,1.7985,661.03,surviving,CA
6,CA,SD/LIB,SD/LIB,cooc,1,4.0,0.0,0.0,661.03,eliminated,CA
6,CA,SD/STY,SD/STY,cooc,1,2.0,23.25,0.5862,661.03,surviving,CA
6,CA,STY,STY,pure,2,,0.0,0.0,661.03,eliminated,CA
6,CA,STY/REF,STY/REF,cooc,2,5.0,393.91,9.9317,661.03,surviving,CA
8,CO,CON,CON,pure,0,,16.53,1.9984,137.88,surviving,CO
8,CO,CON/CTR,CON/CTR,cooc,0,6.0,0.0,0.0,137.88,eliminated,CO
8,CO,CON/REF,CON/REF,cooc,0,5.0,9.5,1.1483,137.88,surviving,CO
8,CO,CON/SD,CON/SD,wildcard,0,1.0,0.0,0.0,137.88,eliminated,CO
8,CO,DSA,DSA,pure,8,,0.0,0.0,137.88,eliminated,CO
8,CO,LIB,LIB,pure,4,,30.28,3.6598,137.88,surviving,CO
8,CO,LIB/PRG,LIB/PRG,cooc,4,9.0,0.0,0.0,137.88,eliminated,CO
8,CO,NAT,NAT,pure,3,,0.0,0.0,137.88,eliminated,CO
8,CO,PRG,PRG,pure,9,,0.0,0.0,137.88,eliminated,CO
8,CO,REF,REF,pure,5,,0.0,0.0,137.88,eliminated,CO
8,CO,REF/STY,REF/STY,cooc,5,2.0,13.2,1.5958,137.88,surviving,CO
8,CO,SD,SD,pure,1,,68.37,8.2643,137.88,surviving,CO
8,CO,SD/LIB,SD/LIB,cooc,1,4.0,0.0,0.0,137.88,eliminated,CO
8,CO,SD/STY,SD/STY,cooc,1,2.0,0.0,0.0,137.88,eliminated,CO
8,CO,STY,STY,pure,2,,0.0,0.0,137.88,eliminated,CO
9,CT,CON,CON,pure,0,,0.0,0.0,80.69,eliminated,CT
9,CT,CON/REF,CON/REF,cooc,0,5.0,0.0,0.0,80.69,eliminated,CT
9,CT,CON/STY,CON/STY,cooc,0,2.0,47.44,9.7993,80.69,surviving,CT
9,CT,CTR,CTR,pure,6,,0.0,0.0,80.69,eliminated,CT
9,CT,LIB,LIB,pure,4,,0.62,0.1284,80.69,surviving,CT
9,CT,LIB/PRG,LIB/PRG,cooc,4,9.0,0.0,0.0,80.69,eliminated,CT
9,CT,NAT,NAT,pure,3,,0.0,0.0,80.69,eliminated,CT
9,CT,PRG,PRG,pure,9,,0.0,0.0,80.69,eliminated,CT
9,CT,REF,REF,pure,5,,0.0,0.0,80.69,eliminated,CT
9,CT,SD,SD,pure,1,,11.25,2.3229,80.69,surviving,CT
9,CT,SD/LIB,SD/LIB,cooc,1,4.0,0.0,0.0,80.69,eliminated,CT
9,CT,SD/STY,SD/STY,cooc,1,2.0,1.48,0.3047,80.69,surviving,CT
9,CT,STY,STY,pure,2,,0.0,0.0,80.69,eliminated,CT
9,CT,STY/REF,STY/REF,cooc,2,5.0,19.91,4.1113,80.69,surviving,CT
10,DE,CON,CON,pure,0,,0.0,0.0,36.16,eliminated,DE
10,DE,CON/NAT,CON/NAT,cooc,0,3.0,0.0,0.0,36.16,eliminated,DE
10,DE,CON/REF,CON/REF,cooc,0,5.0,0.37,0.1689,36.16,surviving,DE
10,DE,CTR,CTR,pure,6,,1.73,0.7955,36.16,surviving,DE
10,DE,CTR/LIB,CTR/LIB,cooc,6,4.0,9.96,4.5914,36.16,surviving,DE
10,DE,LIB,LIB,pure,4,,0.0,0.0,36.16,eliminated,DE
