state_fips,state_abbr,cand_code,cand_label,cand_type,primary_cluster,secondary_cluster,vote_total,vote_pct,quota_threshold,status,winnowing_point
1,AL,CON,CON,pure,0,,0.0,0.0,122.03,eliminated,AL
1,AL,CON/CTR,CON/CTR,cooc,0,6.0,0.0,0.0,122.03,eliminated,AL
1,AL,CON/NAT,CON/NAT,cooc,0,3.0,27.35,3.7658,122.03,surviving,AL
1,AL,CON/REF,CON/REF,cooc,0,5.0,38.35,5.281,122.03,surviving,AL
1,AL,CON/STY,CON/STY,wildcard,0,2.0,34.37,4.7327,122.03,surviving,AL
1,AL,CTR,CTR,pure,6,,0.0,0.0,122.03,eliminated,AL
1,AL,DSA,DSA,pure,8,,0.0,0.0,122.03,eliminated,AL
1,AL,NAT,NAT,pure,3,,0.0,0.0,122.03,eliminated,AL
1,AL,REF,REF,pure,5,,0.0,0.0,122.03,eliminated,AL
1,AL,SD,SD,pure,1,,10.17,1.4009,122.03,surviving,AL
1,AL,SD/DSA,SD/DSA,cooc,1,8.0,0.0,0.0,122.03,eliminated,AL
1,AL,STY,STY,pure,2,,0.0,0.0,122.03,eliminated,AL
1,AL,STY/REF,STY/REF,cooc,2,5.0,0.0,0.0,122.03,eliminated,AL
1,AL,STY/SD,STY/SD,cooc,2,1.0,5.79,0.7978,122.03,surviving,AL
2,AK,CON,CON,pure,0,,2.48,1.8963,22.77,surviving,AK
2,AK,CON/NAT,CON/NAT,cooc,0,3.0,0.0,0.0,22.77,eliminated,AK
2,AK,CTR,CTR,pure,6,,1.02,0.78,22.77,surviving,AK
2,AK,CTR/CON,CTR/CON,cooc,6,0.0,0.0,0.0,22.77,eliminated,AK
2,AK,CTR/REF,CTR/REF,cooc,6,5.0,0.0,0.0,22.77,eliminated,AK
2,AK,LIB,LIB,pure,4,,0.0,0.0,22.77,eliminated,AK
2,AK,NAT,NAT,pure,3,,0.0,0.0,22.77,eliminated,AK
2,AK,REF,REF,pure,5,,0.0,0.0,22.77,eliminated,AK
2,AK,SD,SD,pure,1,,13.95,10.6802,22.77,surviving,AK
